sensor_1_x,sensor_1_y,sensor_1_z,sensor_1_magnitude,sensor_2_x,sensor_2_y,sensor_2_z,sensor_2_magnitude,sensor_3_x,sensor_3_y,sensor_3_z,sensor_3_magnitude,sensor_4_x,sensor_4_y,sensor_4_z,sensor_4_magnitude,sensor_5_x,sensor_5_y,sensor_5_z,sensor_5_magnitude,sensor_6_x,sensor_6_y,sensor_6_z,sensor_6_magnitude,sensor_7_x,sensor_7_y,sensor_7_z,sensor_7_magnitude,sensor_8_x,sensor_8_y,sensor_8_z,sensor_8_magnitude,sensor_9_x,sensor_9_y,sensor_9_z,sensor_9_magnitude,sensor_10_x,sensor_10_y,sensor_10_z,sensor_10_magnitude,sensor_11_x,sensor_11_y,sensor_11_z,sensor_11_magnitude,sensor_12_x,sensor_12_y,sensor_12_z,sensor_12_magnitude
-0.084471,0.256152,-0.084003,0.282499,-0.083706,0.251988,-0.079416,0.277149,-0.085304,0.252196,-0.084311,0.279264,-0.073476,-0.247305,0.087130,0.272305,-0.077527,-0.259485,0.085419,0.283971,-0.079366,-0.252967,0.082638,0.277706,0.079238,-0.250821,-0.066811,0.271392,0.079420,-0.252502,-0.072926,0.274560,0.082362,-0.250087,-0.076071,0.274069,0.083606,0.244724,0.066521,0.267029,0.075292,0.247874,0.065431,0.267192,0.075152,0.250806,0.071460,0.271400
-0.083370,0.256423,-0.083905,0.282388,-0.083706,0.251578,-0.079362,0.276760,-0.084787,0.251940,-0.084908,0.279055,-0.073426,-0.248975,0.086564,0.273630,-0.077527,-0.259745,0.087437,0.284822,-0.078901,-0.252913,0.082939,0.277614,0.078775,-0.251745,-0.067858,0.272371,0.079732,-0.252089,-0.073089,0.274313,0.082670,-0.249980,-0.076022,0.274051,0.083556,0.244724,0.067157,0.267173,0.075749,0.248075,0.065728,0.267580,0.075874,0.251618,0.071448,0.272348
-0.083370,0.255906,-0.083384,0.281765,-0.083448,0.251733,-0.079108,0.276751,-0.084271,0.252298,-0.084859,0.279207,-0.072465,-0.249036,0.086665,0.273462,-0.076584,-0.259801,0.087794,0.284727,-0.079005,-0.253530,0.081728,0.277846,0.078467,-0.251745,-0.066441,0.271932,0.079108,-0.252760,-0.072307,0.274544,0.082567,-0.250494,-0.076317,0.274571,0.083457,0.245420,0.066116,0.267521,0.075241,0.248682,0.064867,0.267791,0.075204,0.251267,0.070037,0.271470
-0.084313,0.256206,-0.082150,0.281955,-0.083345,0.252195,-0.078194,0.276881,-0.085046,0.252862,-0.082708,0.279307,-0.073729,-0.249326,0.085126,0.273580,-0.077737,-0.260005,0.084341,0.284181,-0.079624,-0.253893,0.081177,0.278193,0.079289,-0.251539,-0.065838,0.271833,0.080095,-0.253428,-0.070819,0.275057,0.082978,-0.250797,-0.074385,0.274440,0.083507,0.244574,0.065103,0.266511,0.075241,0.248885,0.064064,0.267785,0.075513,0.251315,0.069581,0.271483
-0.085152,0.255680,-0.083945,0.282259,-0.084840,0.251676,-0.078956,0.277078,-0.086544,0.252095,-0.083615,0.279344,-0.074841,-0.248151,0.087544,0.273576,-0.078051,-0.258755,0.086652,0.283822,-0.080864,-0.252873,0.083406,0.278281,0.080318,-0.250665,-0.068637,0.272020,0.081238,-0.252085,-0.073097,0.274754,0.084210,-0.248985,-0.075840,0.273562,0.084452,0.244127,0.067025,0.266876,0.076461,0.248022,0.067130,0.268082,0.076595,0.249612,0.072543,0.270990
-0.073302,0.254208,-0.100937,0.283166,-0.073547,0.249109,-0.095177,0.276627,-0.074970,0.250547,-0.099412,0.279781,-0.062205,-0.246720,0.102565,0.274335,-0.065789,-0.257500,0.102064,0.284695,-0.067798,-0.251004,0.096331,0.277271,0.068442,-0.248894,-0.084182,0.271512,0.067576,-0.250367,-0.088213,0.273919,0.071325,-0.247566,-0.092683,0.273800,0.071957,0.242821,0.082462,0.266345,0.064104,0.245886,0.080783,0.266636,0.063865,0.249080,0.088165,0.271832
-0.055370,0.251666,-0.115248,0.282283,-0.056064,0.247595,-0.112165,0.277538,-0.056730,0.247560,-0.115343,0.278941,-0.045020,-0.244326,0.117670,0.274897,-0.047240,-0.255279,0.118201,0.285255,-0.049362,-0.248797,0.111399,0.277031,0.049677,-0.246879,-0.098961,0.270574,0.049134,-0.248558,-0.102541,0.273331,0.052434,-0.245715,-0.107201,0.273161,0.054683,0.240414,0.097016,0.264955,0.045848,0.244120,0.096664,0.266535,0.045569,0.246147,0.102960,0.270676
-0.036599,0.248874,-0.129043,0.282719,-0.038994,0.244899,-0.124510,0.277486,-0.039266,0.244368,-0.128158,0.278714,-0.027279,-0.241332,0.129775,0.275366,-0.028848,-0.252226,0.131227,0.285781,-0.031028,-0.245513,0.123168,0.276423,0.032506,-0.243837,-0.110316,0.269597,0.030536,-0.244791,-0.115631,0.272443,0.034775,-0.244103,-0.118979,0.273773,0.038255,0.239104,0.109987,0.265953,0.028914,0.240785,0.109128,0.265936,0.028458,0.243817,0.113245,0.270335
-0.027004,0.249598,-0.131074,0.283211,-0.028526,0.245919,-0.125274,0.277459,-0.029603,0.244564,-0.127637,0.277451,-0.017726,-0.242043,0.129942,0.275289,-0.019835,-0.253092,0.130977,0.285664,-0.021371,-0.246075,0.123620,0.276209,0.022840,-0.244676,-0.111755,0.269958,0.021185,-0.245999,-0.114894,0.272333,0.025638,-0.245303,-0.117988,0.273408,0.029841,0.239792,0.109300,0.265212,0.020473,0.241769,0.109191,0.266072,0.019542,0.244577,0.114387,0.270710
-0.016098,0.250852,-0.131052,0.283479,-0.018676,0.246988,-0.126497,0.278125,-0.019011,0.245937,-0.127831,0.277826,-0.008173,-0.242754,0.129860,0.275427,-0.008884,-0.254121,0.130202,0.285672,-0.010681,-0.247401,0.124223,0.277043,0.012918,-0.245722,-0.111722,0.270237,0.011731,-0.247518,-0.114151,0.272824,0.014139,-0.246020,-0.118931,0.273624,0.018740,0.239981,0.109148,0.264301,0.010556,0.243364,0.108690,0.266742,0.008564,0.245461,0.114108,0.270823
-0.003776,0.249953,-0.132605,0.282975,-0.008000,0.246317,-0.127197,0.277336,-0.006765,0.245413,-0.130453,0.278013,0.003503,-0.241768,0.131989,0.275472,0.002539,-0.252238,0.131607,0.284519,0.000370,-0.245646,0.126171,0.276154,0.001813,-0.244308,-0.112484,0.268965,-0.000529,-0.246054,-0.116055,0.272050,0.003000,-0.245450,-0.121064,0.273700,0.008087,0.240120,0.110076,0.264272,-0.001598,0.242288,0.110879,0.266459,-0.003754,0.245078,0.115871,0.271115
0.006816,0.251152,-0.131399,0.283530,0.003706,0.247189,-0.127195,0.278019,0.004396,0.246479,-0.130789,0.279064,0.014218,-0.242694,0.129969,0.275670,0.014015,-0.254934,0.129919,0.286473,0.010492,-0.247540,0.122729,0.276493,-0.008623,-0.245149,-0.111138,0.269303,-0.011023,-0.248244,-0.115395,0.273976,-0.006959,-0.247789,-0.119037,0.274987,-0.001173,0.241504,0.108198,0.264636,-0.011107,0.243276,0.108040,0.266420,-0.013340,0.245947,0.112763,0.270894
0.009123,0.253346,-0.126227,0.283197,0.005717,0.249147,-0.122522,0.277702,0.005843,0.249397,-0.124225,0.278684,0.015229,-0.245386,0.125139,0.275873,0.015482,-0.258841,0.126086,0.288334,0.011164,-0.250154,0.117475,0.276590,-0.010011,-0.247818,-0.106995,0.270115,-0.012893,-0.249744,-0.109334,0.272933,-0.008294,-0.248884,-0.113290,0.273581,-0.003811,0.243194,0.104043,0.264543,-0.012378,0.245756,0.104096,0.267180,-0.014937,0.248167,0.108124,0.271111
0.018299,0.253600,-0.125265,0.283442,0.013659,0.249387,-0.119971,0.277080,0.014730,0.248877,-0.123298,0.278135,0.022760,-0.245417,0.123748,0.275792,0.023709,-0.258352,0.124531,0.287777,0.020356,-0.249897,0.116051,0.276280,-0.018854,-0.248554,-0.104134,0.270145,-0.020737,-0.250124,-0.107959,0.273216,-0.015942,-0.249961,-0.111846,0.274307,-0.011926,0.243734,0.103605,0.265108,-0.020922,0.245882,0.101824,0.266952,-0.023287,0.247487,0.106760,0.270536
0.020553,0.255019,-0.124048,0.284332,0.014794,0.251033,-0.118913,0.278167,0.016642,0.250002,-0.120582,0.278061,0.024377,-0.245637,0.120615,0.274736,0.027010,-0.259300,0.122819,0.288185,0.022009,-0.250247,0.115081,0.276318,-0.020345,-0.248659,-0.102814,0.269844,-0.023283,-0.250130,-0.105751,0.272563,-0.018766,-0.251127,-0.110251,0.274904,-0.013668,0.244827,0.101228,0.265282,-0.022752,0.246544,0.100309,0.267139,-0.025812,0.248846,0.105573,0.271544
0.021969,0.258184,-0.118525,0.284938,0.018197,0.252946,-0.113067,0.277664,0.019070,0.253073,-0.116177,0.279118,0.027359,-0.248908,0.116693,0.276262,0.027534,-0.260655,0.115909,0.286590,0.023713,-0.252650,0.108350,0.275924,-0.021836,-0.251636,-0.096135,0.270259,-0.024477,-0.253123,-0.099002,0.272895,-0.019998,-0.252631,-0.103482,0.273735,-0.014465,0.246967,0.094822,0.264940,-0.024329,0.248771,0.095018,0.267409,-0.025967,0.252229,0.099400,0.272349
0.007602,0.260300,-0.116776,0.285395,0.003912,0.255603,-0.110704,0.278574,0.004241,0.254009,-0.114385,0.278608,0.012954,-0.250876,0.116226,0.276794,0.014120,-0.263363,0.114681,0.287595,0.010028,-0.254676,0.108244,0.276907,-0.008006,-0.252686,-0.095383,0.270208,-0.010399,-0.254324,-0.098440,0.272909,-0.006292,-0.255373,-0.102321,0.275181,-0.001422,0.248971,0.093965,0.266117,-0.011209,0.250350,0.093322,0.267413,-0.012773,0.253473,0.097877,0.272015
0.012059,0.260193,-0.116009,0.285139,0.008296,0.255673,-0.110752,0.278754,0.008788,0.254363,-0.113149,0.278533,0.017301,-0.251126,0.113294,0.276042,0.018626,-0.263223,0.113102,0.287099,0.013952,-0.255681,0.106100,0.277172,-0.014021,-0.253518,-0.094398,0.270886,-0.014555,-0.256190,-0.096544,0.274164,-0.010912,-0.254921,-0.102176,0.274852,-0.006251,0.249215,0.092519,0.265908,-0.015785,0.250565,0.091458,0.267202,-0.017617,0.253320,0.096711,0.271725
