sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
1.563086,-0.7933594,16.11699,1.769922,-0.8300781,15.83643,1.523145,-0.625,15.68936,1.02041,0.4760742,-15.69229,1.015039,0.900293,-15.99014,0.7680664,0.8902344,-15.75801,-1.108691,0.8869141,15.51367,-0.7896484,0.6461914,15.82773,-0.8951172,0.4161133,15.92988,-1.3375,-0.8832031,-15.80107,-1.241211,-0.9788086,-15.62441,-1.05332,-0.6692383,-15.72432
1.600781,-0.7771484,16.11953,1.798437,-0.821875,15.83887,1.547754,-0.6204102,15.68682,1.0375,0.478418,-15.69238,1.027246,0.9113281,-15.98994,0.7765625,0.9071289,-15.75801,-1.11084,0.9086914,15.51396,-0.7910156,0.6744141,15.8248,-0.8893555,0.4486328,15.93389,-1.327539,-0.9271484,-15.80273,-1.224023,-1.024512,-15.62744,-1.032617,-0.7203125,-15.7249
1.646875,-0.7992187,16.11963,1.849023,-0.8342773,15.83662,1.59873,-0.6290039,15.68486,1.087402,0.4805664,-15.69385,1.080664,0.9084961,-15.99092,0.8301758,0.8996094,-15.76016,-1.165234,0.894043,15.51865,-0.8442383,0.6572266,15.83027,-0.9444336,0.4245117,15.93799,-1.383105,-0.8955078,-15.80361,-1.282422,-0.9907227,-15.62803,-1.09082,-0.6838867,-15.72686
1.558496,-0.6087891,16.12861,1.756738,-0.6491211,15.84951,1.504102,-0.4458008,15.69795,0.9967773,0.3005859,-15.70283,0.9866211,0.7272461,-16.00264,0.730957,0.7228516,-15.77041,-1.064941,0.7224609,15.53008,-0.740332,0.4844727,15.8375,-0.8356445,0.2541016,15.9457,-1.269824,-0.7313477,-15.82158,-1.177148,-0.8254883,-15.64814,-0.9818359,-0.5181641,-15.74414
1.356543,-0.4859375,16.14277,1.565137,-0.5294922,15.86514,1.3125,-0.3261719,15.70781,0.8134766,0.1786133,-15.7127,0.7989258,0.6041016,-16.01533,0.5439453,0.6023437,-15.78057,-0.8838867,0.6020508,15.54746,-0.55625,0.3658203,15.84756,-0.6539063,0.1396484,15.95479,-1.090234,-0.6124023,-15.83574,-1.002539,-0.703125,-15.66631,-0.8103516,-0.3992188,-15.75254
1.256445,-0.4174805,16.15225,1.46416,-0.4583984,15.8752,1.208496,-0.2536133,15.71543,0.7103516,0.1015625,-15.71982,0.6952148,0.5231445,-16.02217,0.4371094,0.5179687,-15.78193,-0.7792969,0.5186523,15.55342,-0.4469727,0.2757812,15.85029,-0.5395508,0.05029297,15.95635,-0.9758789,-0.5183594,-15.84893,-0.8944336,-0.6068359,-15.67852,-0.6967773,-0.2954102,-15.76523
1.035742,-0.1543945,16.15869,1.245703,-0.203418,15.88896,0.9886719,0.0004882812,15.7248,0.4990234,-0.1461914,-15.71982,0.4776367,0.2709961,-16.02764,0.2175781,0.2758789,-15.78438,-0.5625,0.2787109,15.57334,-0.2237305,0.04140625,15.86104,-0.312793,-0.1803711,15.96133,-0.7478516,-0.2947266,-15.86582,-0.675293,-0.3817383,-15.69873,-0.4777344,-0.07539063,-15.77773
0.8811523,-0.2472656,16.1707,1.095117,-0.2923828,15.89941,0.8383789,-0.09101563,15.73154,0.35,-0.05869141,-15.72695,0.3263672,0.3595703,-16.03271,0.07167969,0.3651367,-15.78916,-0.4186523,0.3702148,15.57656,-0.07998047,0.1335938,15.86064,-0.1703125,-0.08320313,15.96357,-0.6083984,-0.3875977,-15.86582,-0.5345703,-0.4700195,-15.69863,-0.3371094,-0.1633789,-15.77627
0.771875,-0.2084961,16.1751,0.9888672,-0.2581055,15.90684,0.7314453,-0.05214844,15.7377,0.2469727,-0.09814453,-15.729,0.2230469,0.3200195,-16.03867,-0.03242188,0.3254883,-15.78711,-0.3177734,0.3292969,15.58223,0.02246094,0.09365234,15.86523,-0.06630859,-0.1217773,15.9665,-0.5050781,-0.3482422,-15.86875,-0.4323242,-0.4280273,-15.70186,-0.2354492,-0.1223633,-15.77891
0.6912109,-0.1918945,16.17686,0.9088867,-0.2391602,15.90986,0.6509766,-0.03525391,15.7415,0.1663086,-0.1186523,-15.72813,0.1398437,0.2982422,-16.03936,-0.1138672,0.3052734,-15.78721,-0.2366211,0.3109375,15.58584,0.1049805,0.07304687,15.86357,0.015625,-0.1414063,15.96572,-0.4210937,-0.3276367,-15.87334,-0.35,-0.4040039,-15.70664,-0.1523438,-0.09931641,-15.78408
