channel,voltage,n_rows,pre_mean,pre_std,post_mean,post_std
manual_x,1,208,0.14927193886621454,0.015205796356193934,0.017717417272597995,0.00329018635865539
manual_x,2,209,0.2584733715056884,0.018354559178453907,0.0317753845542411,0.007661806085550656
manual_x,3,209,0.3925835402745428,0.02318795471543606,0.04641791769076054,0.009728709709957246
manual_x,4,209,0.4995113696559037,0.028295004341393204,0.061559733569528576,0.012543061854188605
manual_x,5,208,0.6334620500766825,0.035803106493712045,0.11926892265692612,0.06828572087507906
manual_y,1,209,0.14893747657252884,0.014332816159718974,0.019541837266557446,0.0026875167637185056
manual_y,2,209,0.2577609914747899,0.016676666803082652,0.03831261124048933,0.0073442312292829395
manual_y,3,208,0.3885080012410987,0.02257197266714025,0.0561133952017775,0.008494987459879174
manual_y,4,210,0.48780080638437917,0.02868648278004188,0.0670938953802169,0.011916775716848191
manual_y,5,215,0.6007461287884007,0.03974255991859863,0.13778065127238887,0.061266502471164795
manual_z,1,235,0.13592522326797493,0.0013868745020183086,0.02862106084891669,0.0008984283672142494
manual_z,2,225,0.24381981939018607,0.0009725199752846952,0.05506800963546522,0.0005248184284402926
manual_z,3,215,0.37955350232695556,0.0018346636481107942,0.06288285818896859,0.002196264514351183
manual_z,4,228,0.521264482781879,0.0027273769647898605,0.07263771183662786,0.004048359991075141
manual_z,5,260,0.6706121563426629,0.0053322033770188985,0.08017781423133066,0.009666347173247963
