sensor_id,R_00,R_01,R_02,R_10,R_11,R_12,R_20,R_21,R_22
1,0.999028,-0.004242,-0.043876,0.043969,0.025116,0.998717,-0.003135,-0.999676,0.025279
2,0.998398,-0.009771,-0.055736,0.055932,0.021119,0.998211,-0.008576,-0.999729,0.021631
3,0.999124,-0.005987,-0.041411,0.041601,0.036279,0.998475,-0.004476,-0.999324,0.036496
4,0.999959,-0.008384,-0.003304,-0.003604,-0.036022,-0.999345,0.00826,0.999316,-0.036051
5,0.999942,0.002716,-0.010447,-0.010405,-0.014774,-0.999837,-0.00287,0.999887,-0.014745
6,0.999731,0.001522,-0.023151,-0.023118,-0.01883,-0.999555,-0.001957,0.999822,-0.018789
7,-0.999816,0.01221,0.014828,0.015281,0.037812,0.999168,0.011639,0.99921,-0.037992
8,-0.999133,-0.007583,0.040943,0.040757,0.023229,0.998899,-0.008525,0.999701,-0.022899
9,-0.99908,-0.005605,0.042519,0.042477,0.007492,0.999069,-0.005918,0.999956,-0.007247
10,-0.999923,0.005028,-0.011364,0.011223,-0.027179,-0.999568,-0.005334,-0.999618,0.02712
11,-0.999948,0.000409,0.010187,-0.010195,-0.038413,-0.99921,-1.8e-05,-0.999262,0.038415
12,-0.999964,0.00549,-0.006482,0.006368,-0.020518,-0.999769,-0.005622,-0.999774,0.020482
