sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
13.049121,-0.326953,-7.97334,12.652148,-0.271191,-7.969238,12.777832,-0.346387,-7.724316,12.819727,0.439063,7.251465,13.154102,0.42666,7.387891,13.156055,0.393164,7.034277,-12.842187,0.244434,-7.258789,-13.178418,0.310352,-7.020508,-13.130469,0.223535,-7.210254,-12.99541,-0.122656,7.296582,-12.923145,-0.479492,7.363477,-13.104297,-0.475977,7.178418
13.231836,-0.328516,-7.62832,12.836719,-0.274805,-7.63584,12.956543,-0.3456055,-7.387305,12.988086,0.440332,6.90957,13.325977,0.434863,7.034473,13.320117,0.399512,6.683105,-13.009961,0.251855,-6.916699,-13.343066,0.309473,-6.669434,-13.299512,0.213574,-6.857812,-13.167285,-0.122656,6.949316,-13.090527,-0.487305,7.020508,-13.273438,-0.480078,6.82998
13.423633,-0.333301,-7.25293,13.029687,-0.279297,-7.266797,13.143945,-0.344824,-7.020508,13.161133,0.446582,6.537695,13.505664,0.448145,6.650195,13.489746,0.407715,6.303418,-13.185059,0.262598,-6.546094,-13.508105,0.311133,-6.287598,-13.470801,0.204785,-6.474414,-13.344922,-0.126465,6.574707,-13.268164,-0.500195,6.645215,-13.445898,-0.483691,6.448926
13.608789,-0.337012,-6.855469,13.210449,-0.285059,-6.879199,13.323828,-0.34668,-6.632617,13.328711,0.449219,6.149414,13.671777,0.461426,6.250879,13.650684,0.416309,5.90498,-13.347656,0.273535,-6.153418,-13.664355,0.314746,-5.88457,-13.632617,0.19375,-6.073535,-13.514746,-0.12793,6.18125,-13.438574,-0.510449,6.256543,-13.60957,-0.486719,6.053711
13.784766,-0.341895,-6.447461,13.388965,-0.291797,-6.486328,13.49375,-0.348438,-6.235352,13.487012,0.451758,5.751465,13.833496,0.471973,5.837012,13.800488,0.42627,5.494727,-13.500684,0.285059,-5.751367,-13.811719,0.316797,-5.474414,-13.784863,0.185156,-5.662695,-13.673145,-0.129883,5.777637,-13.595313,-0.522461,5.852246,-13.763574,-0.492871,5.644922
13.952051,-0.347852,-6.030957,13.554785,-0.297656,-6.078418,13.654199,-0.349219,-5.826758,13.630762,0.455957,5.339648,13.98584,0.484375,5.413574,13.941309,0.433594,5.077051,-13.647949,0.294922,-5.343262,-13.951855,0.319824,-5.058203,-13.928809,0.178711,-5.240527,-13.825,-0.134375,5.364746,-13.74502,-0.535156,5.443457,-13.910449,-0.49707,5.22666
14.10459,-0.354297,-5.606348,13.707715,-0.305859,-5.662109,13.804297,-0.353418,-5.414062,13.768262,0.459277,4.92168,14.125,0.496875,4.984082,14.070215,0.442188,4.649707,-13.783203,0.305664,-4.924805,-14.080469,0.323145,-4.625488,-14.060937,0.170605,-4.811328,-13.963672,-0.140039,4.944629,-13.883789,-0.546777,5.021777,-14.04375,-0.502734,4.80625
14.255078,-0.358203,-5.135059,13.859766,-0.313184,-5.20166,13.950781,-0.356152,-4.953027,13.899512,0.463965,4.459082,14.260449,0.510156,4.508105,14.198633,0.45293,4.176855,-13.915918,0.321777,-4.465625,-14.203418,0.326172,-4.160059,-14.187891,0.162695,-4.340332,-14.098828,-0.14541,4.481934,-14.022168,-0.560156,4.558984,-14.174512,-0.508398,4.335352
14.386523,-0.365527,-4.691699,13.993066,-0.319629,-4.766992,14.080469,-0.358887,-4.517871,14.014844,0.467969,4.025684,14.376855,0.524121,4.060742,14.305273,0.463867,3.733301,-14.032617,0.33291,-4.027832,-14.309668,0.329688,-3.716895,-14.299414,0.15752,-3.891113,-14.220313,-0.149902,4.042285,-14.136621,-0.572266,4.120898,-14.286426,-0.51416,3.89248
14.505078,-0.373242,-4.245996,14.112305,-0.328125,-4.335156,14.19668,-0.362988,-4.085352,14.116797,0.471484,3.592285,14.481934,0.537793,3.615332,14.400879,0.471777,3.290625,-14.13252,0.344238,-3.594727,-14.403516,0.333496,-3.271191,-14.395703,0.149023,-3.448047,-14.325195,-0.157129,3.607813,-14.241016,-0.585742,3.685254,-14.384277,-0.517383,3.452441
14.608887,-0.379102,-3.797754,14.220605,-0.336719,-3.894434,14.294141,-0.366895,-3.647266,14.205078,0.474512,3.152441,14.571777,0.551367,3.15957,14.483594,0.482324,2.843066,-14.216504,0.355566,-3.155762,-14.485645,0.3375,-2.829687,-14.480469,0.142383,-2.998535,-14.414746,-0.162988,3.165918,-14.330957,-0.598437,3.24541,-14.47168,-0.525098,3.009082
14.70332,-0.38584,-3.348145,14.317285,-0.34502,-3.454199,14.390918,-0.368945,-3.20459,14.282031,0.479297,2.714453,14.652539,0.562402,2.70752,14.552344,0.492285,2.397656,-14.294141,0.369922,-2.713965,-14.557227,0.342578,-2.378613,-14.550293,0.135352,-2.547852,-14.495703,-0.169824,2.722852,-14.41123,-0.6125,2.801953,-14.544336,-0.530762,2.563184
14.786719,-0.392383,-2.895605,14.40127,-0.353125,-3.00625,14.467773,-0.371973,-2.762305,14.34668,0.482324,2.269043,14.719141,0.576562,2.253223,14.61123,0.503223,1.945996,-14.360352,0.382617,-2.272363,-14.611816,0.345508,-1.931836,-14.612793,0.129785,-2.091406,-14.564648,-0.178027,2.273926,-14.480469,-0.625781,2.355078,-14.606055,-0.535937,2.110742
14.854199,-0.399805,-2.428223,14.473828,-0.362598,-2.556445,14.534082,-0.376367,-2.311133,14.399023,0.485645,1.82373,14.772754,0.588379,1.791992,14.654883,0.516602,1.491699,-14.412695,0.39502,-1.826074,-14.656055,0.351562,-1.475293,-14.658984,0.12627,-1.63584,-14.619824,-0.186816,1.824512,-14.535547,-0.638672,1.905664,-14.65791,-0.542871,1.658105
14.908984,-0.410059,-1.968652,14.533691,-0.372559,-2.104004,14.589941,-0.380762,-1.862598,14.437988,0.490527,1.373633,14.811035,0.601953,1.330859,14.687598,0.524707,1.036914,-14.451074,0.408496,-1.376465,-14.685156,0.355273,-1.023047,-14.695898,0.122949,-1.17959,-14.661035,-0.194727,1.371484,-14.575781,-0.652637,1.457812,-14.695508,-0.549316,1.206055
14.948535,-0.414746,-1.508105,14.577734,-0.381641,-1.649609,14.629492,-0.383398,-1.410254,14.466016,0.493262,0.924902,14.836914,0.615527,0.866797,14.706445,0.536426,0.580078,-14.477441,0.422656,-0.92793,-14.706152,0.361035,-0.566211,-14.713184,0.118848,-0.719043,-14.69082,-0.205273,0.920996,-14.603906,-0.666016,1.003223,-14.716992,-0.554785,0.750488
14.982715,-0.422656,-1.041504,14.615723,-0.392188,-1.196094,14.660352,-0.388086,-0.957031,14.482617,0.498047,0.473633,14.857031,0.628223,0.403125,14.718164,0.546777,0.121875,-14.495313,0.436035,-0.477051,-14.713379,0.366895,-0.111426,-14.726758,0.116406,-0.259863,-14.711914,-0.21416,0.468457,-14.625977,-0.680078,0.551367,-14.731836,-0.561035,0.291211
15.00332,-0.434082,-0.575195,14.638184,-0.400293,-0.737988,14.677148,-0.392676,-0.502832,14.487598,0.500977,0.024512,14.862207,0.641309,-0.061523,14.714746,0.556836,-0.331934,-14.501367,0.447754,-0.027148,-14.710938,0.374512,0.343945,-14.72793,0.112793,0.202637,-14.721484,-0.22373,0.014258,-14.633398,-0.69043,0.097559,-14.736816,-0.568164,-0.161621
15.009766,-0.441016,-0.105957,14.650293,-0.410742,-0.277051,14.684863,-0.395703,-0.04668,14.480664,0.504199,-0.428906,14.854883,0.654395,-0.522656,14.700195,0.569727,-0.789258,-14.49834,0.46084,0.424219,-14.693848,0.379297,0.8,-14.717676,0.110059,0.663281,-14.716797,-0.234277,-0.438184,-14.628711,-0.704395,-0.359766,-14.727344,-0.57334,-0.62002
15.001758,-0.448828,0.358691,14.651855,-0.421484,0.181152,14.674609,-0.400488,0.409766,14.462305,0.506543,-0.88291,14.833008,0.667871,-0.986523,14.67373,0.579492,-1.247949,-14.48125,0.477539,0.877441,-14.665527,0.385156,1.256543,-14.691992,0.110059,1.123828,-14.69834,-0.245703,-0.895801,-14.609473,-0.716504,-0.812598,-14.704492,-0.578125,-1.077148
14.980957,-0.456543,0.826562,14.633984,-0.430371,0.636426,14.655273,-0.40625,0.864746,14.429004,0.510547,-1.334082,14.798828,0.679004,-1.451563,14.633887,0.590625,-1.700391,-14.448047,0.48877,1.326074,-14.623535,0.391211,1.712695,-14.65498,0.108203,1.583887,-14.670898,-0.25625,-1.348242,-14.580078,-0.72998,-1.266797,-14.669629,-0.583105,-1.531934
14.949609,-0.465723,1.290723,14.608984,-0.440625,1.096973,14.625391,-0.41123,1.319141,14.383203,0.513477,-1.782617,14.754004,0.690332,-1.915137,14.581934,0.603027,-2.154395,-14.40459,0.502246,1.777051,-14.569434,0.396777,2.162891,-14.604785,0.105859,2.041992,-14.627344,-0.267773,-1.801074,-14.537305,-0.742871,-1.720898,-14.618457,-0.589648,-1.985449
