sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
-0.391797,19.163867,-0.405078,-0.498047,18.964258,-0.280078,-0.632422,19.030664,-0.605762,-0.192578,-18.999805,0.545117,-0.363672,-19.204297,0.168652,-0.737891,-18.862109,0.228516,0.348633,-18.885254,0.651367,0.44082,-18.930566,0.354102,0.824902,-19.045508,0.054102,1.027246,18.961133,-0.470996,0.290723,18.842285,-0.661816,0.267871,18.84502,-0.368164
-0.39209,19.165723,-0.404687,-0.498437,18.962598,-0.281543,-0.632422,19.030859,-0.605664,-0.192383,-18.997949,0.547363,-0.363086,-19.205176,0.168359,-0.735352,-18.862012,0.2286135,0.346973,-18.883691,0.653613,0.440625,-18.927734,0.353809,0.824023,-19.044043,0.054004,1.025879,18.960059,-0.469922,0.291895,18.841016,-0.660059,0.267578,18.845703,-0.367383
-0.392676,19.166504,-0.405469,-0.498633,18.960059,-0.281152,-0.632031,19.027539,-0.605566,-0.193652,-18.998828,0.54375,-0.362695,-19.204004,0.168652,-0.736816,-18.8625,0.228711,0.348828,-18.879785,0.649023,0.439063,-18.930176,0.354102,0.823633,-19.04834,0.053711,1.027051,18.958984,-0.471289,0.289844,18.842188,-0.658887,0.266211,18.844141,-0.368164
-0.389453,19.166992,-0.405078,-0.494824,18.961426,-0.284668,-0.630762,19.02793,-0.605957,-0.189844,-18.999805,0.548438,-0.359277,-19.204687,0.168848,-0.73418,-18.861816,0.228418,0.345703,-18.880859,0.648926,0.43623,-18.924414,0.352344,0.820801,-19.048535,0.051367,1.023438,18.959863,-0.467969,0.288184,18.844043,-0.656836,0.264062,18.842871,-0.366797
-0.386328,19.165332,-0.409863,-0.491113,18.961426,-0.287207,-0.626172,19.02793,-0.60957,-0.184863,-18.997754,0.550781,-0.354785,-19.203223,0.171582,-0.730566,-18.862988,0.233594,0.341016,-18.880371,0.646094,0.433008,-18.925098,0.349512,0.817187,-19.048828,0.046973,1.018164,18.958984,-0.463574,0.283789,18.841211,-0.654687,0.259863,18.842383,-0.361328
-0.38457,19.162109,-0.418164,-0.490234,18.960059,-0.293262,-0.622266,19.02793,-0.618262,-0.182617,-18.99707,0.559375,-0.349609,-19.205664,0.179395,-0.726562,-18.862402,0.239844,0.338379,-18.880371,0.638379,0.428711,-18.924902,0.342969,0.814063,-19.044824,0.04082,1.016895,18.957324,-0.45625,0.279785,18.841211,-0.646777,0.257617,18.839941,-0.35459
-0.377344,19.161719,-0.421582,-0.484668,18.957324,-0.3,-0.618262,19.028418,-0.621582,-0.177246,-18.996191,0.561523,-0.346387,-19.203906,0.186035,-0.722461,-18.860645,0.245898,0.333691,-18.879297,0.635254,0.42373,-18.921484,0.340332,0.808789,-19.044043,0.034961,1.012988,18.957324,-0.453711,0.273926,18.840918,-0.644629,0.250488,18.837109,-0.350293
-0.370996,19.162402,-0.424414,-0.477148,18.959961,-0.300879,-0.612891,19.027148,-0.623242,-0.171289,-18.99873,0.564746,-0.340332,-19.20498,0.186523,-0.71582,-18.860449,0.245801,0.326172,-18.878516,0.63457,0.420703,-18.921582,0.336719,0.800391,-19.045117,0.036133,1.005664,18.956934,-0.450586,0.269043,18.841602,-0.641211,0.244434,18.838379,-0.351465
-0.363574,19.162988,-0.42666,-0.471387,18.959961,-0.3,-0.604395,19.027148,-0.624316,-0.16582,-18.999512,0.565332,-0.333301,-19.203809,0.184375,-0.707324,-18.860547,0.245898,0.32041,-18.880762,0.632812,0.411426,-18.923145,0.335547,0.795898,-19.045898,0.034766,0.998242,18.957812,-0.45127,0.262402,18.842578,-0.642383,0.238477,18.838672,-0.347852
-0.355273,19.162402,-0.426074,-0.463965,18.960059,-0.305273,-0.599805,19.021973,-0.625488,-0.159082,-18.998242,0.566895,-0.326562,-19.20498,0.188281,-0.70166,-18.860547,0.247754,0.312305,-18.878906,0.631348,0.407422,-18.92793,0.335059,0.787695,-19.046387,0.034766,0.99248,18.957324,-0.449707,0.254883,18.842285,-0.640723,0.232129,18.839648,-0.347852
-0.35127,19.162207,-0.42793,-0.458301,18.960059,-0.304883,-0.591699,19.024121,-0.627148,-0.152539,-18.999121,0.567383,-0.319922,-19.20332,0.187891,-0.695312,-18.858008,0.24873,0.304883,-18.880176,0.631152,0.397949,-18.926367,0.335059,0.780566,-19.043359,0.034766,0.98584,18.957324,-0.450098,0.24834,18.841406,-0.638477,0.225488,18.838672,-0.347852
-0.342187,19.162207,-0.427734,-0.449414,18.960547,-0.305078,-0.585938,19.024512,-0.628906,-0.144824,-18.996582,0.566504,-0.313672,-19.201563,0.187988,-0.687598,-18.858496,0.249609,0.298633,-18.878516,0.630371,0.389941,-18.927441,0.335059,0.773535,-19.040625,0.034766,0.978809,18.955859,-0.450391,0.242676,18.843652,-0.638672,0.219043,18.840039,-0.347852
-0.33584,19.157812,-0.429688,-0.443066,18.956445,-0.305273,-0.579883,19.024121,-0.626172,-0.138965,-18.996387,0.56875,-0.306543,-19.198145,0.189355,-0.680371,-18.858008,0.250488,0.292578,-18.874902,0.629785,0.383301,-18.924219,0.334375,0.765723,-19.039941,0.030859,0.971582,18.954297,-0.45,0.235742,18.839746,-0.639258,0.20918,18.836426,-0.347852
-0.331543,19.15957,-0.429883,-0.436133,18.95752,-0.305566,-0.57168,19.024414,-0.628711,-0.131152,-18.993945,0.569824,-0.297949,-19.198926,0.187402,-0.673828,-18.858203,0.250684,0.284863,-18.876367,0.628223,0.377734,-18.924219,0.335254,0.759766,-19.039941,0.030762,0.964551,18.95498,-0.448633,0.227832,18.841211,-0.638965,0.203711,18.836914,-0.347754
-0.322266,19.164062,-0.430176,-0.42998,18.95752,-0.305566,-0.56543,19.024414,-0.627637,-0.123438,-18.993945,0.569434,-0.292578,-19.201172,0.18877,-0.668652,-18.85791,0.25,0.278125,-18.875195,0.630078,0.370801,-18.923926,0.337402,0.756738,-19.040234,0.03291,0.957422,18.955566,-0.447852,0.221777,18.840039,-0.639551,0.198047,18.83584,-0.34668
-0.315039,19.159863,-0.429492,-0.421973,18.957324,-0.30752,-0.556055,19.025879,-0.628711,-0.116602,-18.993652,0.567773,-0.284277,-19.199219,0.189551,-0.659961,-18.855078,0.249121,0.271191,-18.875195,0.62832,0.362891,-18.924219,0.336523,0.744824,-19.039746,0.034375,0.951172,18.954492,-0.447949,0.214844,18.83916,-0.640332,0.188672,18.837891,-0.345117
-0.309766,19.157812,-0.429688,-0.415137,18.958105,-0.30752,-0.550684,19.022559,-0.628125,-0.110547,-18.993652,0.566992,-0.27959,-19.198633,0.190039,-0.65293,-18.85498,0.249219,0.264355,-18.874902,0.632227,0.358789,-18.919434,0.336914,0.74043,-19.03877,0.035449,0.944043,18.950781,-0.449219,0.206836,18.836914,-0.64043,0.182617,18.837207,-0.346582
-0.299121,19.159766,-0.429688,-0.408301,18.957324,-0.30791,-0.544043,19.02334,-0.630078,-0.102441,-18.991895,0.567773,-0.270996,-19.198633,0.190137,-0.645801,-18.854395,0.248047,0.257227,-18.878418,0.629395,0.349121,-18.919922,0.336328,0.732129,-19.039746,0.034668,0.93623,18.952637,-0.449316,0.200781,18.836523,-0.638672,0.171973,18.837793,-0.347461
-0.293359,19.29209,-0.432422,-0.400781,18.956543,-0.30752,-0.535645,19.023828,-0.628223,-0.097852,-18.989258,0.56748,-0.26377,-19.19834,0.190332,-0.638672,-18.850684,0.248047,0.249316,-18.877539,0.632617,0.342285,-18.92041,0.336133,0.72373,-19.035156,0.035059,0.927832,18.95332,-0.448828,0.192773,18.837598,-0.639551,0.167773,18.837402,-0.348926
