sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
5.749609,-0.608008,8.16084,5.755566,-0.615723,7.97334,5.619531,-0.499121,7.950781,5.305762,0.443652,-8.109375,5.418262,0.727734,-8.340625,5.229883,0.703125,-8.244531,-5.366406,0.656934,8.056445,-5.272363,0.517188,8.260352,-5.310937,0.33623,8.282227,-5.55459,-0.61582,-8.130371,-5.453906,-0.804883,-8.04541,-5.378516,-0.602051,-8.17207
5.972363,-0.602148,8.010059,5.971973,-0.610449,7.817871,5.838965,-0.49707,7.805566,5.528223,0.445508,-7.966016,5.642578,0.72832,-8.199609,5.454004,0.700879,-8.107812,-5.587988,0.652734,7.915918,-5.497559,0.512988,8.119336,-5.540332,0.328809,8.140918,-5.775391,-0.608789,-7.981348,-5.674121,-0.802539,-7.899805,-5.605273,-0.600684,-8.028027
6.205176,-0.59834,7.836914,6.197754,-0.605078,7.646094,6.067285,-0.494824,7.636719,5.757812,0.446484,-7.80752,5.87998,0.72373,-8.037891,5.689551,0.696289,-7.952246,-5.817969,0.648145,7.758496,-5.735449,0.509863,7.966309,-5.777246,0.322168,7.982227,-6.006152,-0.598437,-7.82373,-5.904687,-0.799414,-7.736621,-5.836133,-0.599219,-7.870117
6.43584,-0.592285,7.654395,6.420703,-0.599414,7.46582,6.292773,-0.490625,7.46123,5.988281,0.444434,-7.63916,6.114063,0.720508,-7.866309,5.922168,0.692969,-7.788086,-6.04375,0.640918,7.591699,-5.966895,0.503418,7.800391,-6.010547,0.31543,7.816113,-6.232129,-0.588281,-7.654785,-6.12959,-0.79668,-7.568262,-6.063965,-0.597266,-7.703223
6.66084,-0.586426,7.466797,6.637109,-0.592871,7.278027,6.51123,-0.487012,7.279395,6.207813,0.445215,-7.463086,6.34248,0.717578,-7.685547,6.149316,0.686914,-7.616992,-6.266406,0.635254,7.418066,-6.19502,0.500098,7.630957,-6.234863,0.310156,7.639746,-6.455957,-0.578125,-7.477539,-6.351074,-0.792578,-7.389453,-6.288867,-0.59541,-7.530469
6.877832,-0.58291,7.272754,6.848438,-0.586133,7.082813,6.725781,-0.48418,7.089648,6.425977,0.445508,-7.280957,6.564844,0.714844,-7.499121,6.370703,0.681934,-7.44082,-6.481738,0.630176,7.237305,-6.419727,0.494531,7.456543,-6.45957,0.302734,7.459961,-6.671387,-0.567187,-7.295801,-6.566895,-0.787402,-7.209277,-6.507324,-0.591309,-7.349609
7.091895,-0.576758,7.072461,7.052344,-0.579492,6.884082,6.932617,-0.479199,6.89502,6.636719,0.445312,-7.09541,6.783691,0.710645,-7.307715,6.588965,0.679102,-7.256836,-6.692871,0.621484,7.048828,-6.638379,0.489551,7.269629,-6.677148,0.296582,7.271191,-6.882812,-0.558691,-7.107227,-6.77666,-0.784473,-7.017871,-6.723047,-0.590332,-7.164648
7.30332,-0.569043,6.861914,7.254492,-0.573926,6.675391,7.137988,-0.474805,6.691406,6.84541,0.442969,-6.897363,6.996191,0.706738,-7.113672,6.804004,0.673047,-7.069238,-6.897656,0.616699,6.855176,-6.853223,0.483789,7.077734,-6.889941,0.28916,7.078516,-7.08916,-0.546777,-6.911621,-6.982129,-0.778613,-6.823926,-6.931934,-0.5875,-6.969922
7.501855,-0.562305,6.64873,7.449609,-0.565723,6.460254,7.335254,-0.469141,6.48291,7.045996,0.442969,-6.693652,7.201074,0.702734,-6.902441,7.008496,0.666895,-6.870605,-7.097559,0.609961,6.651074,-7.057227,0.477148,6.87666,-7.092578,0.283301,6.873437,-7.2875,-0.536523,-6.70625,-7.180664,-0.772754,-6.622168,-7.13291,-0.583301,-6.768555
7.698145,-0.558594,6.429883,7.63584,-0.560059,6.243555,7.525293,-0.465625,6.269824,7.242578,0.443066,-6.485547,7.40166,0.695605,-6.690723,7.208887,0.660352,-6.667383,-7.293945,0.602148,6.446582,-7.258398,0.473145,6.674316,-7.292187,0.278906,6.667773,-7.481152,-0.52627,-6.496875,-7.373242,-0.769141,-6.412598,-7.329199,-0.580273,-6.562695
7.884668,-0.550879,6.199414,7.814063,-0.552832,6.014844,7.70332,-0.461426,6.04541,7.428516,0.442969,-6.269629,7.594629,0.69375,-6.470703,7.400195,0.655762,-6.453613,-7.477051,0.595215,6.227637,-7.452148,0.468652,6.46084,-7.483301,0.272168,6.44834,-7.666797,-0.516406,-6.280176,-7.559473,-0.763965,-6.19248,-7.51748,-0.578711,-6.347363
8.064844,-0.54707,5.968848,7.988379,-0.545898,5.781738,7.882129,-0.457422,5.817969,7.610645,0.444531,-6.051367,7.781152,0.6875,-6.246387,7.587695,0.650098,-6.239355,-7.658301,0.587305,6.010254,-7.6375,0.464844,6.247461,-7.669824,0.266016,6.228027,-7.848535,-0.505957,-6.060059,-7.738477,-0.759766,-5.974805,-7.700879,-0.575879,-6.130078
8.237109,-0.540137,5.725684,8.153125,-0.541113,5.544434,8.051562,-0.454297,5.5875,7.785449,0.441797,-5.826074,7.958105,0.682715,-6.018262,7.768164,0.645703,-6.017285,-7.828223,0.580566,5.78418,-7.817969,0.460547,6.021875,-7.849023,0.262891,6.002246,-8.02041,-0.497266,-5.831348,-7.910938,-0.754102,-5.746973,-7.876953,-0.573535,-5.904687
8.400781,-0.534082,5.479492,8.311426,-0.533301,5.297559,8.213965,-0.450684,5.35,7.953809,0.442383,-5.59375,8.131348,0.67832,-5.780176,7.941602,0.640723,-5.788672,-7.995312,0.572559,5.555664,-7.990918,0.454883,5.793945,-8.021484,0.258594,5.767676,-8.185742,-0.487695,-5.600293,-8.078223,-0.747168,-5.515527,-8.044336,-0.571777,-5.674023
8.55918,-0.529395,5.22998,8.46123,-0.528613,5.052441,8.368848,-0.447266,5.105273,8.112207,0.441406,-5.357812,8.294043,0.672852,-5.538672,8.10498,0.634277,-5.555664,-8.153125,0.56582,5.318457,-8.154102,0.45,5.558203,-8.182617,0.25498,5.531152,-8.345605,-0.478516,-5.364355,-8.235156,-0.742188,-5.278418,-8.204688,-0.568359,-5.438965
8.709766,-0.523145,4.974219,8.605371,-0.520898,4.798438,8.515625,-0.442285,4.86084,8.264258,0.440723,-5.115723,8.452441,0.668457,-5.289453,8.262695,0.627539,-5.316406,-8.303809,0.558594,5.075586,-8.313477,0.446484,5.318555,-8.338477,0.251758,5.284961,-8.496387,-0.469824,-5.121094,-8.386523,-0.736914,-5.035742,-8.360059,-0.564941,-5.198633
8.85166,-0.519043,4.715332,8.741113,-0.514844,4.541504,8.652148,-0.440723,4.604199,8.41123,0.440723,-4.869434,8.599805,0.663574,-5.037598,8.415137,0.623047,-5.07002,-8.446094,0.552441,4.827246,-8.467773,0.441211,5.073047,-8.488184,0.248145,5.03584,-8.640625,-0.459863,-4.872363,-8.529102,-0.73125,-4.785449,-8.505273,-0.563086,-4.950293
8.989746,-0.51416,4.450098,8.868945,-0.507129,4.277539,8.786328,-0.437598,4.347266,8.550098,0.441016,-4.61748,8.743359,0.655762,-4.778906,8.558398,0.61709,-4.823926,-8.583008,0.545117,4.57666,-8.610547,0.438379,4.824902,-8.630957,0.24502,4.783008,-8.777734,-0.450684,-4.619043,-8.663086,-0.725488,-4.53418,-8.646094,-0.560449,-4.70127
9.116113,-0.50957,4.180762,8.991309,-0.501465,4.015527,8.910449,-0.434277,4.087402,8.683203,0.439941,-4.363086,8.880371,0.654395,-4.520996,8.697852,0.612695,-4.570801,-8.715918,0.538184,4.323047,-8.750586,0.435156,4.57041,-8.76748,0.241992,4.526074,-8.907422,-0.442188,-4.363184,-8.794141,-0.720117,-4.278809,-8.781836,-0.557227,-4.446289
9.236328,-0.505176,3.913281,9.106641,-0.494336,3.745312,9.031836,-0.430469,3.826367,8.807031,0.439453,-4.102637,9.008594,0.646875,-4.255957,8.829395,0.605664,-4.315527,-8.840723,0.532031,4.066406,-8.88125,0.431836,4.314355,-8.897363,0.24043,4.266895,-9.031055,-0.43457,-4.102246,-8.919238,-0.715527,-4.021094,-8.908301,-0.556738,-4.191602
9.348437,-0.500098,3.635059,9.21377,-0.489355,3.47334,9.140039,-0.42832,3.555371,8.924512,0.439258,-3.839258,9.127734,0.64209,-3.983496,8.951172,0.602148,-4.052832,-8.956738,0.522852,3.802148,-9.003613,0.427832,4.051563,-9.016699,0.241016,3.997266,-9.145117,-0.426465,-3.836914,-9.031641,-0.708496,-3.75791,-9.024121,-0.553711,-3.929102
9.452637,-0.496875,3.355078,9.310645,-0.483398,3.19707,9.23916,-0.425391,3.285938,9.030371,0.43877,-3.575781,9.236816,0.638086,-3.713867,9.061621,0.596289,-3.788672,-9.063086,0.518066,3.53877,-9.116797,0.425195,3.787109,-9.130566,0.23877,3.729883,-9.250098,-0.417676,-3.569043,-9.137695,-0.70127,-3.489258,-9.132031,-0.551074,-3.659668
9.550293,-0.489746,3.071777,9.402539,-0.477344,2.913281,9.335449,-0.424023,3.008789,9.133594,0.43877,-3.300684,9.340625,0.632227,-3.433691,9.16875,0.591211,-3.516406,-9.164062,0.509473,3.26748,-9.226367,0.420703,3.514941,-9.236719,0.237012,3.455957,-9.351465,-0.411523,-3.297656,-9.237207,-0.695508,-3.216504,-9.236133,-0.550391,-3.389551
9.637793,-0.484375,2.78457,9.482227,-0.471973,2.633398,9.419629,-0.420898,2.729883,9.224121,0.437793,-3.026367,9.439063,0.625098,-3.154883,9.266406,0.58418,-3.244824,-9.254687,0.502344,2.994336,-9.324902,0.417969,3.243457,-9.332715,0.236133,3.182031,-9.438672,-0.403809,-3.019336,-9.325293,-0.690137,-2.941699,-9.330469,-0.547559,-3.117969
9.71543,-0.481738,2.492188,9.553809,-0.465234,2.344531,9.495605,-0.419824,2.447754,9.306641,0.438184,-2.748047,9.52373,0.618164,-2.866211,9.355957,0.581055,-2.966992,-9.339355,0.495703,2.716406,-9.412305,0.41582,2.963672,-9.418652,0.236133,2.898145,-9.522559,-0.396387,-2.739063,-9.407324,-0.685449,-2.662598,-9.415234,-0.544922,-2.836621
9.785449,-0.478906,2.203906,9.61875,-0.461328,2.057129,9.562109,-0.417383,2.165039,9.385059,0.437988,-2.469434,9.600391,0.613281,-2.580078,9.435937,0.576074,-2.690039,-9.41416,0.487109,2.439453,-9.497266,0.4125,2.68623,-9.498047,0.237598,2.613574,-9.596289,-0.389551,-2.459766,-9.481445,-0.678027,-2.383008,-9.492578,-0.543457,-2.55791
9.849316,-0.473926,1.908594,9.677051,-0.455566,1.766211,9.625,-0.415039,1.878613,9.453711,0.437988,-2.186523,9.673633,0.60918,-2.29375,9.513477,0.569531,-2.406152,-9.48418,0.480762,2.156836,-9.574805,0.408105,2.404102,-9.573926,0.237598,2.33125,-9.665137,-0.383008,-2.176855,-9.550781,-0.672754,-2.099414,-9.567578,-0.541699,-2.276855
9.903711,-0.469727,1.611426,9.72666,-0.449512,1.474805,9.679395,-0.413477,1.590332,9.514941,0.437891,-1.904297,9.733301,0.602441,-2.002051,9.578418,0.564648,-2.124805,-9.544336,0.473438,1.875781,-9.641406,0.406348,2.116406,-9.637988,0.240039,2.043457,-9.720605,-0.375195,-1.887598,-9.606738,-0.664941,-1.816504,-9.625195,-0.540234,-1.994922
9.950781,-0.466602,1.316504,9.767871,-0.446191,1.18252,9.723926,-0.409863,1.300293,9.569824,0.437695,-1.615234,9.789844,0.597363,-1.707031,9.637695,0.560742,-1.838281,-9.597754,0.467676,1.58916,-9.702637,0.402051,1.831641,-9.694238,0.241895,1.752344,-9.769531,-0.369336,-1.602637,-9.655859,-0.658398,-1.529297,-9.681445,-0.537891,-1.706348
9.984961,-0.46123,1.015137,9.799512,-0.440039,0.887109,9.758887,-0.410547,1.010742,9.611328,0.437598,-1.328223,9.832324,0.590234,-1.411133,9.68418,0.554297,-1.549512,-9.639746,0.456543,1.302051,-9.747363,0.401758,1.539941,-9.740137,0.24375,1.462793,-9.812988,-0.362305,-1.313379,-9.696484,-0.65293,-1.24082,-9.723535,-0.534863,-1.416504
10.013672,-0.458887,0.718164,9.821387,-0.435156,0.592187,9.783398,-0.40918,0.721387,9.645312,0.436328,-1.040723,9.86709,0.585742,-1.117285,9.722168,0.548535,-1.260352,-9.671973,0.454199,1.01416,-9.788281,0.397852,1.253418,-9.778223,0.24502,1.166504,-9.844434,-0.357031,-1.023633,-9.730859,-0.645703,-0.955078,-9.759473,-0.532324,-1.12959
10.031152,-0.454883,0.414258,9.834863,-0.431934,0.29668,9.803418,-0.405371,0.423438,9.672363,0.437012,-0.748535,9.895117,0.57832,-0.817187,9.754395,0.543555,-0.968457,-9.698633,0.444824,0.722754,-9.82041,0.396387,0.960254,-9.809082,0.248535,0.870117,-9.868945,-0.353027,-0.728711,-9.753711,-0.639258,-0.661816,-9.785937,-0.52998,-0.836328
10.041309,-0.449219,0.11582,9.843555,-0.425879,9.8e-05,9.809961,-0.406348,0.133008,9.688965,0.438086,-0.458594,9.913574,0.569922,-0.520312,9.778906,0.538965,-0.676855,-9.715234,0.437891,0.433594,-9.84209,0.394629,0.66875,-9.831055,0.250781,0.578613,-9.883984,-0.346094,-0.439551,-9.771484,-0.633398,-0.371289,-9.805273,-0.528711,-0.54502
10.041309,-0.445898,-0.186133,9.839355,-0.422949,-0.295898,9.814063,-0.404297,-0.160156,9.700098,0.436523,-0.166699,9.925977,0.567285,-0.22041,9.795312,0.53457,-0.386914,-9.722656,0.431934,0.142285,-9.862109,0.392676,0.375488,-9.84248,0.25498,0.281055,-9.891211,-0.343848,-0.144727,-9.777539,-0.626855,-0.080957,-9.817383,-0.527344,-0.256348
