sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
8.36377,-0.412207,-5.953809,8.110645,-0.365039,-5.937988,8.195605,-0.413379,-5.783789,8.245703,0.427441,5.450879,8.454492,0.441211,5.578027,8.498242,0.452734,5.342383,-8.292871,0.321094,-5.484668,-8.531348,0.386719,-5.345508,-8.483496,0.382129,-5.485156,-8.39668,-0.307715,5.510254,-8.32998,-0.509766,5.561328,-8.474512,-0.499805,5.443945
8.225391,-0.410156,-6.145801,7.974316,-0.364551,-6.124805,8.06123,-0.413281,-5.972168,8.116699,0.426563,5.645996,8.321582,0.435156,5.774805,8.373633,0.450684,5.539453,-8.164355,0.31582,-5.679102,-8.405273,0.38584,-5.547461,-8.352539,0.387695,-5.689063,-8.262793,-0.307715,5.707422,-8.195508,-0.503613,5.760352,-8.341895,-0.496777,5.646484
8.034766,-0.407324,-6.395117,7.784766,-0.361914,-6.369238,7.874414,-0.413965,-6.217578,7.941309,0.425488,5.894043,8.140332,0.429199,6.031738,8.199219,0.443945,5.79502,-7.988965,0.309473,-5.925586,-8.230859,0.386426,-5.802246,-8.178125,0.395508,-5.944727,-8.08252,-0.307715,5.958203,-8.017188,-0.49375,6.008887,-8.164258,-0.493945,5.902539
7.847266,-0.405762,-6.627344,7.596875,-0.360547,-6.592578,7.690625,-0.414062,-6.444141,7.766406,0.424023,6.119824,7.962402,0.420605,6.270215,8.025488,0.439941,6.031738,-7.815039,0.304688,-6.157715,-8.058008,0.386523,-6.03916,-8.000488,0.405273,-6.178125,-7.905859,-0.308203,6.187891,-7.841504,-0.489551,6.23916,-7.988965,-0.491602,6.133887
7.653906,-0.40459,-6.855078,7.404395,-0.35918,-6.811523,7.499023,-0.414062,-6.665137,7.585742,0.420605,6.344922,7.776953,0.414258,6.500098,7.847754,0.435645,6.261621,-7.632129,0.298926,-6.380762,-7.881055,0.386523,-6.270703,-7.821289,0.41416,-6.408594,-7.720898,-0.30918,6.413867,-7.656836,-0.483105,6.464551,-7.805762,-0.490723,6.361719
7.450684,-0.403516,-7.07373,7.205566,-0.358105,-7.023828,7.301758,-0.417871,-6.881543,7.397852,0.419727,6.563086,7.583887,0.406445,6.727051,7.66123,0.431641,6.489844,-7.444336,0.293555,-6.600098,-7.698242,0.386719,-6.496484,-7.631641,0.422559,-6.637305,-7.530859,-0.312598,6.632324,-7.465527,-0.476172,6.682422,-7.616699,-0.489844,6.58457
7.238477,-0.403223,-7.28418,6.995996,-0.355762,-7.228516,7.096973,-0.417676,-7.086914,7.201465,0.419043,6.772461,7.380371,0.402051,6.942188,7.466504,0.429297,6.706348,-7.245801,0.289062,-6.806934,-7.500684,0.387793,-6.712109,-7.435547,0.431543,-6.855273,-7.329688,-0.313086,6.846191,-7.26582,-0.470508,6.893262,-7.417969,-0.486621,6.799023
7.025098,-0.402539,-7.489648,6.784668,-0.354395,-7.428613,6.884473,-0.419434,-7.288379,7.000488,0.416504,6.977734,7.175684,0.395996,7.157715,7.266406,0.426367,6.920801,-7.04541,0.283789,-7.012402,-7.30166,0.38877,-6.926563,-7.231934,0.440527,-7.066797,-7.124805,-0.314941,7.052832,-7.062695,-0.464746,7.096191,-7.216504,-0.484082,7.011719
6.802734,-0.401562,-7.688379,6.564941,-0.35332,-7.620312,6.666699,-0.419922,-7.483398,6.792383,0.414551,7.180176,6.962012,0.388574,7.364941,7.062012,0.423438,7.128223,-6.837695,0.28125,-7.213281,-7.097852,0.389746,-7.138379,-7.022949,0.450391,-7.27334,-6.915723,-0.316992,7.253418,-6.851465,-0.457422,7.298438,-7.006152,-0.482129,7.21543
6.575098,-0.401465,-7.880566,6.339355,-0.353027,-7.807812,6.445508,-0.421875,-7.672754,6.57998,0.411914,7.374609,6.74209,0.382031,7.566992,6.848535,0.41875,7.331445,-6.623926,0.277344,-7.40625,-6.885254,0.389746,-7.337891,-6.810059,0.45918,-7.475488,-6.69873,-0.320898,7.451367,-6.636621,-0.452832,7.49248,-6.792773,-0.479785,7.414844
