sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
-0.429297,23.033203,-0.549316,-0.584668,22.813281,-0.417969,-0.798633,23.077148,-0.791504,-0.164551,-23.01582,0.726758,-0.297754,-23.100586,0.281445,-0.682422,-22.897852,0.364453,0.445801,-22.866309,0.845313,0.542188,-22.918164,0.503613,0.931152,-22.956934,0.140918,1.046387,22.801953,-0.608594,0.235937,22.655566,-0.858301,0.269238,22.856152,-0.508789
-0.431152,23.027734,-0.546191,-0.578125,22.809473,-0.418359,-0.79668,23.075488,-0.788477,-0.167285,-23.012012,0.72666,-0.294824,-23.097754,0.283398,-0.680664,-22.893066,0.364648,0.445898,-22.864551,0.844141,0.531543,-22.912891,0.502637,0.933887,-22.94707,0.14082,1.060742,22.952734,-0.613281,0.236523,22.691016,-0.859668,0.268652,22.85,-0.507324
-0.432812,23.02207,-0.54668,-0.578516,22.80459,-0.417676,-0.797461,23.067383,-0.788574,-0.170215,-23.00791,0.72666,-0.296582,-23.09082,0.280566,-0.686328,-22.889258,0.36377,0.445898,-22.855957,0.844238,0.531641,-22.914746,0.50498,0.943555,-22.946582,0.14082,1.057715,22.962695,-0.613867,0.236328,22.819824,-0.863574,0.267871,22.84375,-0.508203
-0.432715,23.022754,-0.546973,-0.580273,22.804004,-0.417578,-0.797266,23.059277,-0.788574,-0.170215,-23.003223,0.72666,-0.295508,-23.086133,0.280859,-0.687891,-22.88584,0.363379,0.446973,-22.854688,0.844434,0.544629,-22.914258,0.504102,0.943848,-22.941992,0.14082,1.057715,22.961035,-0.613477,0.234961,22.81582,-0.863086,0.26748,22.840723,-0.508203
-0.431055,23.015918,-0.546875,-0.580078,22.798633,-0.417969,-0.796875,23.056543,-0.789551,-0.170508,-23.000586,0.726074,-0.292187,-23.083301,0.280859,-0.68877,-22.879687,0.362891,0.448535,-22.846289,0.843555,0.544141,-22.911719,0.504102,0.941797,-22.937988,0.140918,1.05752,22.95752,-0.613477,0.234766,22.81377,-0.863086,0.267188,22.836133,-0.50791
-0.431055,23.011914,-0.546875,-0.585059,22.799805,-0.417969,-0.799609,23.057129,-0.789355,-0.168555,-22.999512,0.726074,-0.292187,-23.078613,0.282227,-0.681543,-22.87793,0.362012,0.443848,-22.847266,0.84375,0.538086,-22.899902,0.505176,0.945215,-22.932031,0.14043,1.060156,22.95625,-0.613477,0.234766,22.812109,-0.863086,0.261426,22.831348,-0.508789
-0.431934,23.098535,-0.548242,-0.583105,22.793262,-0.418066,-0.798828,23.054492,-0.787988,-0.162891,-22.993555,0.725879,-0.292187,-23.076074,0.281836,-0.678223,-22.872852,0.36377,0.444922,-22.842578,0.843457,0.538086,-22.893164,0.505371,0.938867,-22.933301,0.14043,1.057813,22.953223,-0.613477,0.235156,22.807324,-0.862695,0.262891,22.828027,-0.508691
-0.440234,23.176562,-0.549414,-0.581738,22.786621,-0.416895,-0.797363,23.041602,-0.788281,-0.162891,-22.986133,0.72627,-0.291797,-23.072754,0.281738,-0.678906,-22.867383,0.364355,0.44873,-22.83623,0.843457,0.534473,-22.888672,0.504395,0.932031,-22.925391,0.140918,1.057813,22.948438,-0.613281,0.235156,22.803906,-0.863281,0.267773,22.824316,-0.508691
-0.436035,23.171387,-0.549512,-0.585254,22.779395,-0.418945,-0.797852,23.039844,-0.788574,-0.162793,-22.978516,0.72666,-0.29375,-23.068164,0.281738,-0.678906,-22.861719,0.364063,0.447949,-22.833398,0.84375,0.534473,-22.885352,0.504395,0.936133,-22.924121,0.140918,1.05918,22.945898,-0.613281,0.235645,22.799121,-0.864062,0.269629,22.81875,-0.509277
-0.436035,23.165137,-0.549512,-0.583203,22.77832,-0.419434,-0.79375,23.032324,-0.788379,-0.157617,-22.972363,0.726465,-0.29082,-23.060742,0.282715,-0.677051,-22.856641,0.364063,0.445898,-22.829492,0.84082,0.534375,-22.884668,0.504492,0.936133,-22.917871,0.141504,1.05918,22.940625,-0.61377,0.235645,22.791797,-0.863867,0.265625,22.816406,-0.508105
