sensor_1_x,sensor_1_y,sensor_1_z,sensor_1_magnitude,sensor_2_x,sensor_2_y,sensor_2_z,sensor_2_magnitude,sensor_3_x,sensor_3_y,sensor_3_z,sensor_3_magnitude,sensor_4_x,sensor_4_y,sensor_4_z,sensor_4_magnitude,sensor_5_x,sensor_5_y,sensor_5_z,sensor_5_magnitude,sensor_6_x,sensor_6_y,sensor_6_z,sensor_6_magnitude,sensor_7_x,sensor_7_y,sensor_7_z,sensor_7_magnitude,sensor_8_x,sensor_8_y,sensor_8_z,sensor_8_magnitude,sensor_9_x,sensor_9_y,sensor_9_z,sensor_9_magnitude,sensor_10_x,sensor_10_y,sensor_10_z,sensor_10_magnitude,sensor_11_x,sensor_11_y,sensor_11_z,sensor_11_magnitude,sensor_12_x,sensor_12_y,sensor_12_z,sensor_12_magnitude
1.374275,-0.285605,2.255388,2.656497,1.353717,-0.293267,2.179759,2.582616,1.327624,-0.276401,2.162595,2.552606,1.204889,0.271232,-2.150986,2.480336,1.280615,0.341856,-2.303578,2.657689,1.204889,0.322534,-2.223729,2.549658,-1.230195,0.321184,2.159881,2.506317,-1.210100,0.277103,2.240018,2.561017,-1.222390,0.200375,2.232216,2.552877,-1.223426,-0.278008,-2.109495,2.454390,-1.231570,-0.324171,-2.128878,2.480721,-1.223364,-0.280808,-2.182468,2.517665
1.374432,-0.286068,2.255547,2.656763,1.353201,-0.293577,2.179608,2.582253,1.328347,-0.275429,2.163443,2.553596,1.205242,0.270723,-2.151126,2.480573,1.280459,0.340869,-2.303202,2.657161,1.204941,0.321867,-2.224130,2.549948,-1.229527,0.321185,2.160588,2.506599,-1.210412,0.277360,2.239811,2.561011,-1.222185,0.200634,2.231654,2.552307,-1.222779,-0.277510,-2.110236,2.454647,-1.231672,-0.323969,-2.128982,2.480833,-1.224085,-0.281979,-2.182299,2.518000
1.374170,-0.284677,2.255583,2.656509,1.353562,-0.293986,2.180783,2.583480,1.327210,-0.275632,2.163136,2.552766,1.205445,0.271277,-2.152083,2.481562,1.280039,0.341286,-2.303515,2.657284,1.205767,0.321256,-2.224789,2.550836,-1.230658,0.320824,2.160444,2.506983,-1.210360,0.277154,2.240988,2.561994,-1.222801,0.200523,2.232315,2.553171,-1.223874,-0.277560,-2.109799,2.454824,-1.231316,-0.324273,-2.129125,2.480820,-1.224085,-0.281056,-2.181656,2.517340
1.373855,-0.285609,2.255388,2.656281,1.353407,-0.293268,2.180166,2.582797,1.328192,-0.275889,2.161837,2.552205,1.205495,0.271125,-2.152827,2.482215,1.280878,0.341127,-2.304448,2.658477,1.204166,0.320888,-2.223916,2.549272,-1.230452,0.320927,2.160695,2.507112,-1.210775,0.277565,2.240727,2.562007,-1.222442,0.200066,2.232577,2.553193,-1.223525,-0.276813,-2.110104,2.454828,-1.231062,-0.323870,-2.127782,2.479488,-1.223931,-0.281673,-2.182506,2.518070
1.374065,-0.284781,2.256923,2.657603,1.353201,-0.294193,2.181650,2.584047,1.327985,-0.275786,2.162841,2.552937,1.205799,0.271172,-2.151134,2.480900,1.282397,0.341434,-2.304565,2.659349,1.204889,0.321918,-2.224637,2.550372,-1.229938,0.321544,2.162203,2.508239,-1.211139,0.276843,2.240386,2.561802,-1.222544,0.200475,2.232671,2.553355,-1.223027,-0.276962,-2.110246,2.454718,-1.232079,-0.324574,-2.127123,2.479520,-1.223364,-0.281423,-2.184077,2.519129
1.374799,-0.285289,2.255846,2.657123,1.353407,-0.293679,2.180373,2.583018,1.328244,-0.275377,2.162938,2.553109,1.205748,0.271729,-2.152091,2.481766,1.280772,0.340868,-2.303721,2.657762,1.204166,0.321350,-2.224071,2.549465,-1.229989,0.320979,2.160137,2.506410,-1.210100,0.277103,2.240121,2.561107,-1.222647,0.200423,2.231912,2.552737,-1.222779,-0.277161,-2.110731,2.455034,-1.230808,-0.323769,-2.128733,2.480165,-1.223467,-0.281012,-2.182313,2.517604
1.374379,-0.285707,2.254976,2.656213,1.353304,-0.292961,2.180214,2.582749,1.327210,-0.276401,2.163146,2.552858,1.205091,0.270370,-2.151169,2.480498,1.280982,0.340919,-2.304550,2.658588,1.204373,0.322223,-2.224028,2.549636,-1.229835,0.320005,2.160860,2.506834,-1.210516,0.276999,2.240125,2.561296,-1.222596,0.200526,2.231403,2.552276,-1.223725,-0.276764,-2.109665,2.454544,-1.231418,-0.323869,-2.128333,2.480138,-1.222900,-0.281222,-2.182006,2.517086
1.375848,-0.285020,2.255636,2.657459,1.354129,-0.292547,2.180976,2.583777,1.327882,-0.276145,2.163147,2.553181,1.205495,0.270164,-2.151265,2.480755,1.280301,0.341806,-2.303317,2.657305,1.204476,0.322070,-2.224787,2.550327,-1.230761,0.320670,2.161155,2.507627,-1.210931,0.278029,2.239902,2.561409,-1.223006,0.201906,2.232137,2.553223,-1.223874,-0.276913,-2.110398,2.455265,-1.231418,-0.323161,-2.128745,2.480399,-1.223725,-0.281470,-2.183065,2.518432
1.374641,-0.285188,2.256258,2.657380,1.354335,-0.294701,2.181145,2.584273,1.328502,-0.275992,2.164206,2.554384,1.205091,0.270876,-2.151677,2.480994,1.280825,0.341127,-2.303518,2.657645,1.204579,0.321711,-2.224988,2.550506,-1.231326,0.320464,2.160704,2.507489,-1.211035,0.278132,2.240768,2.562227,-1.222596,0.201193,2.232657,2.553424,-1.223973,-0.276863,-2.110791,2.455647,-1.231825,-0.323362,-2.128693,2.480582,-1.223312,-0.281526,-2.182052,2.517360
1.374484,-0.285861,2.255596,2.656809,1.353252,-0.293782,2.180170,2.582778,1.327727,-0.276503,2.163201,2.553185,1.205445,0.270872,-2.150730,2.480345,1.280563,0.341753,-2.305126,2.658993,1.204166,0.321812,-2.224480,2.549880,-1.230606,0.320465,2.161512,2.507833,-1.210983,0.277616,2.241135,2.562468,-1.222134,0.200635,2.230489,2.551263,-1.224372,-0.277312,-2.110393,2.455554,-1.231825,-0.324928,-2.129965,2.481878,-1.224137,-0.281773,-2.182504,2.518181
