pc_time,seq,tick_ms,bitmap,sensor_1_x_gs,sensor_1_y_gs,sensor_1_z_gs,sensor_2_x_gs,sensor_2_y_gs,sensor_2_z_gs,sensor_3_x_gs,sensor_3_y_gs,sensor_3_z_gs,sensor_4_x_gs,sensor_4_y_gs,sensor_4_z_gs,sensor_5_x_gs,sensor_5_y_gs,sensor_5_z_gs,sensor_6_x_gs,sensor_6_y_gs,sensor_6_z_gs,sensor_7_x_gs,sensor_7_y_gs,sensor_7_z_gs,sensor_8_x_gs,sensor_8_y_gs,sensor_8_z_gs,sensor_9_x_gs,sensor_9_y_gs,sensor_9_z_gs,sensor_10_x_gs,sensor_10_y_gs,sensor_10_z_gs,sensor_11_x_gs,sensor_11_y_gs,sensor_11_z_gs,sensor_12_x_gs,sensor_12_y_gs,sensor_12_z_gs,imu_seq,imu_tick_ms,ax,ay,az,gx,gy,gz,temp
1780493821.373833,103085,493272,0x0FFF,0.461938,0.318958,-0.934875,0.318958,0.461938,-0.890881,0.285962,0.351953,-0.890881,0.263965,-0.714905,1.330823,-0.032996,-0.428943,1.231836,0.065991,-0.274963,1.308826,0.263965,0.285962,-1.000867,0.241968,0.461938,-0.824890,0.142981,0.373950,-0.923877,0.252966,-0.340955,1.066858,0.131982,-0.296960,1.154846,0.186975,-0.208972,1.286829,103083,493268,-87,103,8237,-15,1,-17,635
1780493821.375606,103087,493274,0x0FFF,0.384949,0.307959,-0.978870,0.230969,0.494934,-1.044861,0.241968,0.395947,-0.835889,0.252966,-0.681909,1.143848,0.054993,-0.318958,1.341821,0.087988,-0.340955,1.440808,0.252966,0.395947,-1.011865,0.164978,0.439941,-0.791895,0.197974,0.373950,-0.945874,0.241968,-0.395947,1.077856,0.098987,-0.263965,1.154846,0.175977,-0.054993,1.220837,103086,493272,-91,106,8241,-14,0,-20,632
1780493821.376681,103088,493276,0x0FFF,0.472937,0.340955,-0.934875,0.340955,0.494934,-0.857886,0.285962,0.428943,-0.945874,0.252966,-0.549927,1.242834,0.010999,-0.395947,1.363818,0.065991,-0.285962,1.286829,0.131982,0.274963,-0.923877,0.197974,0.494934,-0.846887,-0.043994,0.483936,-0.956873,0.241968,-0.395947,0.945874,0.175977,-0.296960,1.022864,0.076990,-0.219971,1.242834,103086,493272,-91,106,8241,-14,0,-20,632
1780493821.378856,103090,493278,0x0FFF,0.406946,0.472937,-0.945874,0.307959,0.450940,-0.923877,0.186975,0.208972,-0.978870,0.274963,-0.582922,1.231836,0.087988,-0.373950,1.220837,0.054993,-0.296960,1.363818,0.241968,0.329956,-0.956873,0.186975,0.307959,-0.813892,-0.021997,0.428943,-0.813892,0.208972,-0.516931,1.066858,0.000000,-0.329956,1.154846,0.164978,-0.241968,1.132849,103089,493277,-101,108,8227,-17,-3,-23,636
1780493821.380982,103091,493280,0x0FFF,0.417944,0.450940,-0.934875,0.241968,0.538928,-0.934875,0.186975,0.285962,-0.923877,0.230969,-0.714905,1.275830,0.043994,-0.373950,1.143848,0.021997,-0.197974,1.352820,0.241968,0.274963,-1.011865,0.197974,0.417944,-0.846887,0.142981,0.439941,-0.923877,0.197974,-0.373950,1.044861,0.087988,-0.274963,1.143848,0.208972,-0.252966,1.121851,103089,493277,-101,108,8227,-17,-3,-23,636
1780493821.383238,103092,493283,0x0FFF,0.439941,0.395947,-0.978870,0.285962,0.483936,-0.835889,0.285962,0.373950,-0.813892,0.274963,-0.604919,1.242834,0.131982,-0.395947,1.198840,-0.010999,-0.230969,1.352820,0.307959,0.285962,-0.967871,0.230969,0.351953,-0.802893,0.164978,0.461938,-1.033862,0.197974,-0.494934,0.945874,0.087988,-0.318958,1.110852,0.186975,-0.164978,1.231836,103089,493277,-101,108,8227,-17,-3,-23,636
1780493821.385887,103094,493285,0x0FFF,0.428943,0.417944,-0.912878,0.340955,0.450940,-0.967871,0.098987,0.307959,-0.934875,0.351953,-0.670911,1.220837,0.164978,-0.318958,1.220837,0.021997,-0.219971,1.319824,0.164978,0.351953,-1.000867,0.208972,0.340955,-0.879883,0.219971,0.494934,-0.846887,0.252966,-0.494934,1.000867,0.087988,-0.274963,1.154846,0.153979,-0.186975,1.154846,103093,493283,-105,128,8227,-17,-2,-19,642
1780493821.387126,103095,493287,0x0FFF,0.417944,0.384949,-0.912878,0.340955,0.637915,-1.121851,0.120984,0.373950,-0.780896,0.263965,-0.615918,1.275830,0.076990,-0.384949,1.176843,0.186975,-0.318958,1.253833,0.241968,0.351953,-1.077856,0.109985,0.494934,-0.835889,-0.010999,0.428943,-0.879883,0.164978,-0.417944,0.989868,0.065991,-0.340955,1.088855,0.120984,-0.230969,1.231836,103093,493283,-105,128,8227,-17,-2,-19,642
1780493821.389307,103097,493289,0x0FFF,0.505933,0.329956,-0.945874,0.142981,0.571924,-0.945874,0.285962,0.384949,-0.835889,0.318958,-0.637915,1.242834,0.010999,-0.439941,1.143848,0.120984,-0.373950,1.253833,0.263965,0.351953,-0.989868,0.142981,0.384949,-0.857886,0.098987,0.516931,-0.890881,0.263965,-0.395947,1.077856,0.043994,-0.307959,1.099854,0.131982,-0.208972,1.187842,103096,493287,-93,109,8244,-15,-4,-22,632
1780493821.391386,103098,493291,0x0FFF,0.461938,0.318958,-0.846887,0.329956,0.494934,-0.868884,0.142981,0.362952,-0.846887,0.241968,-0.692908,1.176843,0.054993,-0.428943,1.231836,0.054993,-0.197974,1.253833,0.307959,0.395947,-1.066858,0.076990,0.373950,-0.736902,0.054993,0.329956,-0.978870,0.230969,-0.417944,1.088855,0.120984,-0.329956,1.077856,0.274963,-0.010999,1.275830,103096,493287,-93,109,8244,-15,-4,-22,632
