sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
16.259180,-0.920996,19.268359,16.125586,-0.938477,18.791309,15.940625,-0.695801,18.887207,15.196094,0.788086,-19.146289,15.525195,1.313281,-19.693359,15.058984,1.136133,-19.626660,-15.252637,1.142676,19.153125,-15.052246,0.732031,19.631250,-15.192773,0.116895,19.658398,-15.559766,-0.741113,-19.253223,-15.419336,-1.370313,-19.077832,-15.255371,-0.950391,-19.367969
16.260742,-0.920020,19.270703,16.126855,-0.940234,18.790527,15.938965,-0.696484,18.886230,15.196094,0.788086,-19.147070,15.523535,1.313281,-19.692969,15.056836,1.137500,-19.624219,-15.254199,1.143945,19.155957,-15.053711,0.732031,19.631836,-15.191309,0.118848,19.654980,-15.560059,-0.742676,-19.253711,-15.419629,-1.371387,-19.074219,-15.254102,-0.950781,-19.360645
16.262012,-0.921777,19.269336,16.128223,-0.939160,18.789746,15.936719,-0.696289,18.880176,15.198242,0.789062,-19.147168,15.524219,1.314551,-19.690332,15.057813,1.138281,-19.624805,-15.252246,1.144531,19.151074,-15.054004,0.732422,19.630176,-15.192383,0.119238,19.653809,-15.559961,-0.744043,-19.251465,-15.418262,-1.369824,-19.073828,-15.253613,-0.950586,-19.359473
16.262598,-0.921094,19.273047,16.126855,-0.938965,18.790723,15.937012,-0.694727,18.886035,15.198828,0.789746,-19.148730,15.527441,1.312988,-19.695508,15.059766,1.136816,-19.627637,-15.255664,1.146191,19.157227,-15.058105,0.733301,19.638086,-15.191895,0.119141,19.656641,-15.557910,-0.743652,-19.251953,-15.419824,-1.371191,-19.076758,-15.252051,-0.952051,-19.358398
16.262402,-0.920996,19.269531,16.127148,-0.939941,18.788477,15.939355,-0.697754,18.883691,15.202734,0.788477,-19.153125,15.527246,1.315527,-19.697852,15.062402,1.137305,-19.631250,-15.254102,1.146289,19.156543,-15.053711,0.734180,19.632129,-15.192676,0.119531,19.657324,-15.560449,-0.745703,-19.254590,-15.421582,-1.369727,-19.078809,-15.253418,-0.952148,-19.362305
16.261230,-0.919824,19.267090,16.127637,-0.939453,18.790625,15.933301,-0.696777,18.878320,15.203516,0.789355,-19.154980,15.529785,1.315527,-19.697852,15.062988,1.136426,-19.631836,-15.253027,1.147559,19.154102,-15.054102,0.732324,19.630664,-15.190918,0.117773,19.650586,-15.562988,-0.743848,-19.258691,-15.422461,-1.370020,-19.080273,-15.255273,-0.952441,-19.365039
16.259473,-0.919531,19.263574,16.124805,-0.940332,18.788965,15.932422,-0.695996,18.876270,15.203320,0.790625,-19.155469,15.528027,1.314258,-19.697168,15.063184,1.137109,-19.630957,-15.249121,1.145117,19.147168,-15.051367,0.734961,19.626074,-15.190137,0.119141,19.652637,-15.562988,-0.744238,-19.255957,-15.424414,-1.369922,-19.081250,-15.256543,-0.951367,-19.365723
16.255469,-0.922754,19.261816,16.123828,-0.939844,18.785449,15.935547,-0.695605,18.878125,15.206250,0.790332,-19.156152,15.530078,1.314062,-19.699316,15.063477,1.135938,-19.630957,-15.251953,1.143457,19.148926,-15.052539,0.734180,19.629492,-15.187793,0.120703,19.649316,-15.566309,-0.745020,-19.259863,-15.423145,-1.371191,-19.078516,-15.258203,-0.951758,-19.364746
16.256738,-0.921875,19.258984,16.123535,-0.938184,18.784570,15.933594,-0.695801,18.878418,15.204102,0.789746,-19.154980,15.527441,1.314648,-19.698730,15.062012,1.137109,-19.631152,-15.252539,1.144727,19.149902,-15.050195,0.732910,19.622949,-15.186914,0.119434,19.650488,-15.562012,-0.745313,-19.258594,-15.420996,-1.370117,-19.077051,-15.255859,-0.952832,-19.364844
16.253711,-0.921191,19.260840,16.121387,-0.938965,18.783594,15.930859,-0.695703,18.873535,15.198242,0.790918,-19.149414,15.523047,1.314551,-19.689648,15.057227,1.137207,-19.621289,-15.247168,1.145996,19.146191,-15.047266,0.733984,19.620605,-15.186230,0.119629,19.645801,-15.560254,-0.744336,-19.251953,-15.415625,-1.370117,-19.070996,-15.253809,-0.952441,-19.361133
