sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
-0.170605,-0.508984,-0.173340,-0.143848,-0.491602,-0.156836,-0.173828,-0.473340,-0.172852,-0.153418,0.337988,0.103125,-0.175000,0.437500,0.128613,-0.116406,0.511133,0.130469,0.088184,0.427930,-0.137891,0.076465,0.465527,-0.155273,0.120996,0.547852,-0.148535,0.012012,-0.575293,0.118457,0.077930,-0.532617,0.125391,0.065527,-0.479102,0.092383
-0.172363,-0.507715,-0.173145,-0.144043,-0.490039,-0.156055,-0.172754,-0.472070,-0.173633,-0.153223,0.338477,0.100488,-0.175977,0.437891,0.129004,-0.116797,0.510449,0.130273,0.088770,0.425684,-0.140918,0.076660,0.465137,-0.154395,0.120898,0.547559,-0.148926,0.011914,-0.574609,0.119141,0.078613,-0.532324,0.126855,0.065430,-0.476855,0.092188
-0.171680,-0.506055,-0.172852,-0.144629,-0.490820,-0.156934,-0.173145,-0.472168,-0.172168,-0.152148,0.339062,0.099609,-0.175098,0.437988,0.125293,-0.118066,0.510547,0.130469,0.087402,0.427441,-0.138965,0.076465,0.466309,-0.153809,0.121094,0.547656,-0.150293,0.012012,-0.574609,0.118750,0.077637,-0.534375,0.127832,0.064062,-0.477832,0.091602
-0.171680,-0.506641,-0.171582,-0.143359,-0.493262,-0.157227,-0.173047,-0.471582,-0.175195,-0.152246,0.337207,0.102734,-0.176074,0.439551,0.127051,-0.118359,0.508203,0.130469,0.087402,0.426758,-0.138379,0.077246,0.465234,-0.153125,0.121484,0.547656,-0.150098,0.012402,-0.575195,0.119043,0.078125,-0.533398,0.126562,0.064844,-0.478125,0.090723
-0.171777,-0.507715,-0.173828,-0.143262,-0.490625,-0.156836,-0.174609,-0.471973,-0.174023,-0.152051,0.338770,0.101465,-0.175977,0.435840,0.128418,-0.117676,0.510254,0.130078,0.088379,0.426855,-0.140234,0.077441,0.464941,-0.154199,0.121484,0.545898,-0.149609,0.011230,-0.573926,0.120410,0.078125,-0.533887,0.127148,0.063770,-0.477734,0.091406
-0.171387,-0.507715,-0.172461,-0.143066,-0.491602,-0.156641,-0.173633,-0.472461,-0.174219,-0.152832,0.339062,0.099707,-0.176465,0.439063,0.127246,-0.116797,0.509082,0.130566,0.088086,0.426563,-0.141797,0.077441,0.466211,-0.151562,0.121387,0.546777,-0.151562,0.012012,-0.575488,0.118555,0.077930,-0.534277,0.127246,0.063965,-0.477344,0.090625
-0.171875,-0.507129,-0.171191,-0.142969,-0.490625,-0.157520,-0.173437,-0.471875,-0.172949,-0.152734,0.336328,0.104102,-0.176367,0.438281,0.125098,-0.118066,0.511035,0.132129,0.088086,0.426465,-0.138672,0.077344,0.467480,-0.155664,0.121289,0.546777,-0.148633,0.012402,-0.574023,0.118945,0.079004,-0.532617,0.125879,0.064355,-0.476367,0.091016
-0.172656,-0.507520,-0.173730,-0.144043,-0.491699,-0.155176,-0.172949,-0.471582,-0.173828,-0.152051,0.336621,0.101465,-0.175879,0.437207,0.127148,-0.117090,0.510938,0.130664,0.088477,0.424707,-0.139941,0.075879,0.467383,-0.153418,0.120215,0.546094,-0.148145,0.011133,-0.574316,0.117969,0.077832,-0.531836,0.125098,0.064941,-0.476660,0.091895
-0.171582,-0.508398,-0.172559,-0.143652,-0.490332,-0.155664,-0.173145,-0.471582,-0.174316,-0.154199,0.338574,0.100977,-0.176465,0.437402,0.129785,-0.118750,0.509375,0.130078,0.089160,0.425391,-0.139844,0.076855,0.466699,-0.154395,0.121582,0.543652,-0.147168,0.012598,-0.573535,0.117969,0.078613,-0.532227,0.126758,0.063672,-0.476758,0.090137
-0.172266,-0.505957,-0.170605,-0.143164,-0.489355,-0.157812,-0.172949,-0.471191,-0.173340,-0.152344,0.336621,0.101660,-0.175781,0.438574,0.127441,-0.117383,0.508984,0.129883,0.088184,0.423828,-0.139844,0.077539,0.466113,-0.152734,0.122266,0.544922,-0.150586,0.012598,-0.575098,0.119629,0.077441,-0.531641,0.128125,0.065234,-0.476660,0.090625
-0.171582,-0.507715,-0.171289,-0.144336,-0.491016,-0.157422,-0.173926,-0.470117,-0.171777,-0.153711,0.337109,0.102344,-0.176563,0.437305,0.126562,-0.118359,0.510156,0.130371,0.087695,0.424902,-0.138086,0.075977,0.465137,-0.152637,0.122168,0.545312,-0.148047,0.011426,-0.573926,0.117871,0.079297,-0.531348,0.125879,0.064355,-0.476758,0.091113
-0.171484,-0.507324,-0.172949,-0.143164,-0.490430,-0.158008,-0.173926,-0.470605,-0.171777,-0.153809,0.336816,0.102539,-0.174512,0.435254,0.126758,-0.117969,0.510840,0.130469,0.088086,0.425586,-0.138184,0.076855,0.465918,-0.153223,0.120703,0.544238,-0.148535,0.012988,-0.573340,0.120508,0.078320,-0.532813,0.126367,0.063574,-0.477539,0.092285
-0.171777,-0.508496,-0.172168,-0.143848,-0.491797,-0.158594,-0.172168,-0.470801,-0.172949,-0.154883,0.337500,0.104590,-0.176953,0.437109,0.128223,-0.118066,0.509961,0.130273,0.089258,0.425977,-0.141113,0.076855,0.465527,-0.152148,0.120410,0.544434,-0.149512,0.012402,-0.575195,0.118066,0.079395,-0.530566,0.125098,0.065137,-0.477930,0.091211
-0.172363,-0.507129,-0.173437,-0.144141,-0.490332,-0.157129,-0.173145,-0.471777,-0.172559,-0.153906,0.336328,0.101660,-0.176465,0.437500,0.126855,-0.118750,0.508789,0.131250,0.089355,0.423828,-0.141504,0.077344,0.466113,-0.153613,0.121582,0.544043,-0.147852,0.012793,-0.574609,0.118750,0.079004,-0.530566,0.125684,0.064648,-0.477051,0.090137
-0.171582,-0.507715,-0.172949,-0.144727,-0.491895,-0.156250,-0.173242,-0.470996,-0.174023,-0.153906,0.337988,0.102539,-0.176660,0.435645,0.129688,-0.118164,0.509570,0.130566,0.088672,0.425195,-0.137500,0.077344,0.464746,-0.152051,0.119629,0.544727,-0.148828,0.013086,-0.574316,0.117676,0.078906,-0.531836,0.125391,0.065527,-0.479199,0.091406
-0.172168,-0.506543,-0.171094,-0.143945,-0.491113,-0.158301,-0.172559,-0.471777,-0.173437,-0.152637,0.338867,0.100781,-0.175879,0.436816,0.130469,-0.117871,0.509473,0.131445,0.088574,0.426660,-0.139160,0.078125,0.464551,-0.152441,0.120605,0.544922,-0.147266,0.011426,-0.575195,0.119043,0.079395,-0.530566,0.125586,0.065234,-0.478613,0.091016
-0.171680,-0.507812,-0.170410,-0.144043,-0.490723,-0.155859,-0.174121,-0.471484,-0.172949,-0.153418,0.338281,0.101758,-0.175000,0.437891,0.129102,-0.117090,0.509277,0.130371,0.089941,0.426855,-0.142187,0.077734,0.464746,-0.150195,0.121777,0.546094,-0.146777,0.012598,-0.575391,0.119043,0.079199,-0.532422,0.127246,0.065820,-0.478711,0.092871
-0.171973,-0.508301,-0.171484,-0.143848,-0.492383,-0.157129,-0.172949,-0.471484,-0.172070,-0.153027,0.338086,0.101953,-0.175488,0.437500,0.129102,-0.118262,0.509961,0.130762,0.089160,0.427441,-0.140137,0.076367,0.465918,-0.152539,0.120020,0.545703,-0.148242,0.011719,-0.573828,0.119531,0.079102,-0.532227,0.126953,0.065234,-0.478613,0.090918
-0.173633,-0.508789,-0.167090,-0.144727,-0.491699,-0.155566,-0.175000,-0.472363,-0.172070,-0.154004,0.338379,0.100488,-0.178125,0.440137,0.124023,-0.118945,0.509961,0.128027,0.090527,0.427832,-0.138867,0.077832,0.465430,-0.149316,0.122852,0.546777,-0.145117,0.014355,-0.574707,0.116895,0.080176,-0.533789,0.122461,0.068457,-0.477539,0.089063
-0.176855,-0.509668,-0.163770,-0.147559,-0.492188,-0.147754,-0.177832,-0.474219,-0.165527,-0.158398,0.338477,0.095215,-0.182031,0.438867,0.120801,-0.121973,0.512207,0.123633,0.092578,0.428223,-0.132715,0.081641,0.465332,-0.145313,0.126074,0.547754,-0.140820,0.016699,-0.576172,0.112598,0.084082,-0.534375,0.119531,0.069922,-0.478027,0.083789
-0.180176,-0.509961,-0.158594,-0.150879,-0.492578,-0.145215,-0.181250,-0.472266,-0.161719,-0.161328,0.339648,0.092188,-0.184277,0.440625,0.116797,-0.126270,0.512598,0.117090,0.095996,0.428906,-0.125977,0.086523,0.466992,-0.140918,0.129785,0.547266,-0.135449,0.020410,-0.576367,0.106152,0.086523,-0.533594,0.112402,0.073926,-0.478125,0.078125
-0.182227,-0.509961,-0.153613,-0.154688,-0.494434,-0.138965,-0.184668,-0.472266,-0.154395,-0.165234,0.339844,0.083105,-0.187988,0.439063,0.110937,-0.128516,0.513574,0.115039,0.099805,0.429492,-0.121094,0.090234,0.467969,-0.134570,0.133105,0.548438,-0.131055,0.023926,-0.578027,0.101953,0.090430,-0.535352,0.107617,0.075586,-0.480273,0.075098
-0.185449,-0.510156,-0.146777,-0.157520,-0.493164,-0.133203,-0.186719,-0.474414,-0.151855,-0.166895,0.339746,0.079492,-0.189355,0.440332,0.104590,-0.131641,0.513770,0.107813,0.103125,0.430762,-0.116016,0.092480,0.467383,-0.130273,0.136230,0.547656,-0.126953,0.027441,-0.578125,0.095410,0.093945,-0.534473,0.102930,0.079297,-0.479199,0.067578
-0.188477,-0.509961,-0.143750,-0.159863,-0.492969,-0.128223,-0.190137,-0.472852,-0.146094,-0.169922,0.339551,0.072559,-0.191895,0.440430,0.099316,-0.135059,0.512598,0.100488,0.105664,0.429980,-0.112500,0.094727,0.467578,-0.123145,0.138379,0.549707,-0.122070,0.030273,-0.578125,0.092969,0.096289,-0.533301,0.098730,0.083203,-0.479492,0.062891
-0.190820,-0.510645,-0.136426,-0.163477,-0.493555,-0.121973,-0.192090,-0.474219,-0.139648,-0.173047,0.339844,0.069043,-0.194922,0.442285,0.093848,-0.138867,0.512793,0.096777,0.108594,0.429492,-0.107422,0.098340,0.467285,-0.118359,0.142383,0.549707,-0.114746,0.032422,-0.579297,0.084863,0.098926,-0.535645,0.091602,0.086035,-0.481055,0.059766
-0.192383,-0.509570,-0.129297,-0.164453,-0.493652,-0.116406,-0.194531,-0.473242,-0.133984,-0.175000,0.339844,0.062793,-0.199512,0.441602,0.090820,-0.141309,0.513867,0.093750,0.110645,0.430762,-0.100195,0.099902,0.467578,-0.113672,0.144629,0.549707,-0.109277,0.034180,-0.579492,0.080469,0.100684,-0.536328,0.088965,0.088965,-0.480957,0.054688
-0.196191,-0.510742,-0.125098,-0.167285,-0.494922,-0.109863,-0.196387,-0.473438,-0.128027,-0.176758,0.340430,0.056641,-0.200000,0.440137,0.085938,-0.143066,0.511328,0.087695,0.112695,0.431641,-0.093652,0.103223,0.468945,-0.109180,0.147559,0.549121,-0.102051,0.035156,-0.577246,0.074902,0.103027,-0.536230,0.080371,0.090625,-0.480371,0.047754
-0.196387,-0.509961,-0.118555,-0.168652,-0.493945,-0.103418,-0.199121,-0.474219,-0.121973,-0.179785,0.339355,0.049707,-0.202148,0.438867,0.076172,-0.145605,0.512109,0.082324,0.114062,0.431641,-0.090723,0.105664,0.468750,-0.104004,0.146680,0.548828,-0.099023,0.038672,-0.579492,0.068066,0.104688,-0.536230,0.076563,0.092188,-0.480176,0.043848
-0.199316,-0.510156,-0.112305,-0.171191,-0.495703,-0.098633,-0.200684,-0.473633,-0.116309,-0.182227,0.339648,0.045996,-0.204395,0.441406,0.069043,-0.148047,0.512695,0.073047,0.115137,0.431836,-0.084766,0.106543,0.468555,-0.097070,0.150098,0.549512,-0.092969,0.039453,-0.579883,0.061816,0.106250,-0.537305,0.069238,0.093359,-0.480273,0.036914
-0.201270,-0.509961,-0.105566,-0.170898,-0.492773,-0.095312,-0.202051,-0.472363,-0.109277,-0.183789,0.339258,0.040234,-0.205762,0.441504,0.065918,-0.149512,0.512695,0.069238,0.118555,0.430176,-0.077246,0.109668,0.467871,-0.091406,0.151367,0.548145,-0.085840,0.041699,-0.579004,0.057813,0.107715,-0.536328,0.063672,0.096777,-0.479980,0.031641
-0.201563,-0.510352,-0.101367,-0.173340,-0.494531,-0.087598,-0.204004,-0.471582,-0.103809,-0.185156,0.339160,0.032715,-0.208984,0.440820,0.061328,-0.149707,0.512109,0.062793,0.119141,0.430176,-0.070703,0.109863,0.466699,-0.083496,0.153320,0.547363,-0.077246,0.042480,-0.579688,0.051074,0.108203,-0.536133,0.059473,0.096094,-0.479785,0.027051
-0.202734,-0.510742,-0.093457,-0.174609,-0.493945,-0.081445,-0.202734,-0.471680,-0.097559,-0.186914,0.338770,0.026562,-0.209375,0.439648,0.054688,-0.151465,0.512891,0.055371,0.120605,0.430664,-0.065430,0.111328,0.466406,-0.079297,0.154395,0.547656,-0.071777,0.043945,-0.579004,0.046777,0.109473,-0.536523,0.053711,0.097949,-0.479297,0.019922
-0.203711,-0.510547,-0.087793,-0.173437,-0.493262,-0.074707,-0.204590,-0.471289,-0.089844,-0.186230,0.339844,0.024121,-0.208984,0.441211,0.047949,-0.153809,0.512207,0.049512,0.121387,0.428809,-0.060156,0.112402,0.464941,-0.072363,0.155762,0.546484,-0.068359,0.045020,-0.579688,0.039453,0.110059,-0.535742,0.045020,0.099707,-0.479004,0.014746
-0.202832,-0.510840,-0.082227,-0.175000,-0.493164,-0.068066,-0.204102,-0.473145,-0.087402,-0.185059,0.337891,0.012988,-0.210156,0.440820,0.040820,-0.152930,0.510449,0.044434,0.121387,0.430176,-0.055078,0.112402,0.465820,-0.066016,0.155371,0.545801,-0.063379,0.044922,-0.578809,0.034668,0.111816,-0.536035,0.038574,0.099512,-0.479590,0.007812
-0.204492,-0.508887,-0.075391,-0.174219,-0.494141,-0.061328,-0.205078,-0.472266,-0.077441,-0.187012,0.339453,0.008691,-0.210254,0.438574,0.033789,-0.153711,0.511426,0.037891,0.122461,0.429688,-0.049219,0.112695,0.467578,-0.060156,0.157812,0.544727,-0.058105,0.046680,-0.579395,0.028613,0.111914,-0.535449,0.034180,0.100781,-0.479785,0.001465
-0.204785,-0.510938,-0.066211,-0.173926,-0.492969,-0.054492,-0.204980,-0.471680,-0.072266,-0.188477,0.338477,0.002832,-0.210547,0.439648,0.026172,-0.152246,0.510449,0.032910,0.122852,0.428320,-0.043359,0.113281,0.466699,-0.055762,0.158496,0.545801,-0.053418,0.046582,-0.578809,0.020313,0.111719,-0.536230,0.030176,0.099805,-0.479883,-0.003027
-0.203125,-0.510156,-0.062207,-0.172754,-0.491699,-0.050098,-0.204004,-0.471777,-0.065234,-0.187305,0.337402,-0.003711,-0.209375,0.438574,0.019141,-0.154102,0.510840,0.027148,0.121191,0.427344,-0.035840,0.113281,0.467285,-0.050488,0.156641,0.545410,-0.045020,0.045312,-0.577734,0.017090,0.114453,-0.535937,0.023438,0.099414,-0.479297,-0.008984
-0.202832,-0.507422,-0.056055,-0.173145,-0.491992,-0.042383,-0.203125,-0.473145,-0.059375,-0.185938,0.338086,-0.009766,-0.209082,0.439258,0.012500,-0.154297,0.511621,0.021094,0.122070,0.428809,-0.031152,0.113770,0.466016,-0.043457,0.158008,0.545020,-0.039551,0.045410,-0.577637,0.009180,0.111523,-0.534570,0.015430,0.100684,-0.478125,-0.015918
-0.201172,-0.509082,-0.048047,-0.172656,-0.492676,-0.034473,-0.203906,-0.471680,-0.053418,-0.186621,0.336426,-0.016016,-0.209570,0.438281,0.010156,-0.153418,0.509863,0.013086,0.121387,0.427637,-0.021582,0.111914,0.466699,-0.037207,0.155762,0.546191,-0.030176,0.044727,-0.577441,0.003906,0.111523,-0.533887,0.011035,0.098730,-0.477637,-0.022266
-0.201074,-0.508398,-0.043945,-0.171387,-0.491895,-0.029492,-0.201953,-0.470703,-0.047266,-0.185254,0.336914,-0.021094,-0.208691,0.439551,0.002051,-0.152930,0.509570,0.006738,0.121191,0.427539,-0.020215,0.111230,0.466602,-0.031250,0.157715,0.548730,-0.027051,0.044043,-0.577441,-0.002051,0.110254,-0.535937,0.004004,0.099512,-0.477246,-0.026855
-0.198730,-0.508691,-0.036133,-0.169922,-0.492969,-0.025488,-0.201172,-0.470313,-0.040723,-0.184277,0.336230,-0.025879,-0.207031,0.439453,-0.003027,-0.151562,0.510059,0.000000,0.118848,0.428906,-0.011426,0.110059,0.466016,-0.024316,0.152930,0.545508,-0.020605,0.042285,-0.577539,-0.010352,0.108203,-0.535937,-0.001563,0.096484,-0.478906,-0.034375
-0.197949,-0.508398,-0.032031,-0.168066,-0.492773,-0.017969,-0.199414,-0.469629,-0.035547,-0.182422,0.335742,-0.032715,-0.205664,0.439063,-0.009180,-0.150586,0.510938,-0.006250,0.118555,0.427051,-0.006152,0.109375,0.467090,-0.019922,0.152832,0.544141,-0.013281,0.040527,-0.578223,-0.016699,0.107227,-0.535449,-0.005664,0.094238,-0.478320,-0.041895
-0.197070,-0.508105,-0.025293,-0.166406,-0.493457,-0.013281,-0.196680,-0.470801,-0.029102,-0.182324,0.335645,-0.037109,-0.205273,0.441406,-0.016211,-0.148535,0.510547,-0.008594,0.116992,0.429395,-0.000391,0.108203,0.466309,-0.013477,0.151855,0.544238,-0.006641,0.039844,-0.577734,-0.020996,0.106250,-0.536914,-0.013379,0.094531,-0.478125,-0.047559
-0.192773,-0.507031,-0.019922,-0.164355,-0.492188,-0.004687,-0.195605,-0.471289,-0.024121,-0.180176,0.336816,-0.044922,-0.202734,0.441406,-0.019043,-0.145996,0.511621,-0.015430,0.115039,0.426563,0.006250,0.106445,0.464844,-0.007129,0.150098,0.543555,-0.001758,0.037598,-0.577051,-0.028516,0.103711,-0.537012,-0.020410,0.093359,-0.477832,-0.053027
