sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
5.589355,-0.609180,8.265137,5.600195,-0.617969,8.078027,5.459277,-0.501367,8.054785,5.141602,0.442676,-8.209961,5.248340,0.729102,-8.443848,5.059180,0.706641,-8.341504,-5.199512,0.660840,8.160254,-5.098633,0.518164,8.357129,-5.141699,0.339551,8.386133,-5.378809,-0.622949,-8.233594,-5.280664,-0.805469,-8.151367,-5.201270,-0.603418,-8.276172
5.588965,-0.608301,8.265137,5.598047,-0.618457,8.077246,5.459668,-0.502637,8.055273,5.141992,0.442383,-8.207910,5.247168,0.727441,-8.443457,5.058398,0.703906,-8.343652,-5.198535,0.662207,8.158691,-5.099023,0.516797,8.357227,-5.141699,0.340625,8.388184,-5.379785,-0.622266,-8.233789,-5.279395,-0.805762,-8.152051,-5.201562,-0.602832,-8.275781
5.589551,-0.609570,8.267676,5.599414,-0.618457,8.078223,5.460254,-0.505078,8.054590,5.141113,0.443066,-8.205273,5.249609,0.727246,-8.443262,5.058398,0.705469,-8.343652,-5.198535,0.660352,8.159082,-5.097363,0.518164,8.355859,-5.138770,0.339746,8.384668,-5.380566,-0.621973,-8.234180,-5.279004,-0.805859,-8.150879,-5.200879,-0.603613,-8.275781
5.589551,-0.607129,8.266992,5.598730,-0.617480,8.078711,5.460938,-0.502441,8.055859,5.144141,0.442188,-8.210059,5.248340,0.727832,-8.446094,5.059082,0.706348,-8.341797,-5.199219,0.660254,8.159570,-5.098535,0.517676,8.360156,-5.141113,0.339844,8.386328,-5.381738,-0.622754,-8.234570,-5.279590,-0.806543,-8.151855,-5.201074,-0.602637,-8.275098
5.590137,-0.607422,8.267773,5.597949,-0.618066,8.079199,5.459668,-0.502344,8.056738,5.142188,0.442773,-8.210449,5.249219,0.728320,-8.447070,5.059375,0.704883,-8.341406,-5.200000,0.658398,8.161816,-5.098535,0.516895,8.359668,-5.142090,0.338184,8.387891,-5.381543,-0.623437,-8.237598,-5.281250,-0.805176,-8.150195,-5.200977,-0.602734,-8.273242
5.589551,-0.608203,8.267969,5.599707,-0.617871,8.078027,5.459668,-0.503223,8.054883,5.144434,0.443164,-8.209766,5.250098,0.727051,-8.449609,5.058496,0.704980,-8.342383,-5.199902,0.659180,8.165137,-5.097266,0.516406,8.359863,-5.140820,0.338477,8.384473,-5.381836,-0.623242,-8.235547,-5.279883,-0.805859,-8.152441,-5.201855,-0.602246,-8.276465
5.589453,-0.608008,8.265723,5.596875,-0.617090,8.078906,5.459570,-0.502832,8.057324,5.143945,0.442383,-8.211816,5.248730,0.729297,-8.445117,5.059180,0.706445,-8.343164,-5.199023,0.660254,8.162012,-5.096191,0.517773,8.356445,-5.141406,0.339258,8.389844,-5.381152,-0.623926,-8.233105,-5.279590,-0.805664,-8.150391,-5.201562,-0.602441,-8.278027
5.588672,-0.608496,8.267480,5.597168,-0.617969,8.075977,5.459277,-0.501074,8.056543,5.144922,0.442090,-8.211328,5.248828,0.727441,-8.443750,5.057812,0.704004,-8.341797,-5.199609,0.659863,8.161328,-5.098438,0.517480,8.357715,-5.140820,0.339453,8.387598,-5.381250,-0.622852,-8.233301,-5.278809,-0.804395,-8.152441,-5.201562,-0.601953,-8.277051
5.590625,-0.606250,8.267480,5.598633,-0.617383,8.078125,5.460938,-0.502539,8.057910,5.143359,0.441211,-8.211328,5.249121,0.726172,-8.448926,5.058789,0.705078,-8.342773,-5.201953,0.658105,8.162695,-5.098828,0.518164,8.360059,-5.140625,0.339648,8.388965,-5.381348,-0.622461,-8.235449,-5.280371,-0.805176,-8.151953,-5.203320,-0.602148,-8.279297
5.589648,-0.606934,8.270312,5.597461,-0.617871,8.078711,5.461426,-0.502148,8.058887,5.144434,0.441992,-8.213379,5.248535,0.728516,-8.448340,5.060742,0.705566,-8.343066,-5.199609,0.658398,8.164551,-5.099023,0.517871,8.360449,-5.140234,0.337988,8.389258,-5.382129,-0.622754,-8.234570,-5.282227,-0.804883,-8.151758,-5.202246,-0.601270,-8.279492
5.591113,-0.607520,8.270508,5.600684,-0.619238,8.082324,5.463281,-0.503223,8.062598,5.145215,0.441992,-8.215527,5.251172,0.727930,-8.450488,5.062598,0.704004,-8.348145,-5.201660,0.660352,8.165625,-5.099512,0.517383,8.361621,-5.142383,0.338281,8.390918,-5.382910,-0.621191,-8.237695,-5.282129,-0.804883,-8.157520,-5.204883,-0.601367,-8.282520
5.590527,-0.608398,8.270898,5.599707,-0.618652,8.081738,5.461914,-0.502539,8.057813,5.143359,0.441895,-8.212402,5.249512,0.729883,-8.450977,5.060449,0.705371,-8.344043,-5.198926,0.658789,8.162402,-5.098926,0.516895,8.359180,-5.140527,0.338672,8.390234,-5.383105,-0.620215,-8.236230,-5.282422,-0.805176,-8.153613,-5.203320,-0.602539,-8.280176
5.589453,-0.607910,8.270020,5.600098,-0.617480,8.082715,5.460254,-0.501367,8.059766,5.143164,0.441895,-8.211133,5.249609,0.726465,-8.449023,5.060547,0.704297,-8.345410,-5.199902,0.659375,8.163184,-5.096973,0.517188,8.360352,-5.140234,0.338965,8.388477,-5.382324,-0.620996,-8.235449,-5.281055,-0.802637,-8.152930,-5.204688,-0.600684,-8.280469
5.587988,-0.608691,8.267188,5.599316,-0.618066,8.079199,5.461914,-0.500977,8.059863,5.142969,0.441797,-8.213184,5.247656,0.727832,-8.447266,5.059766,0.705176,-8.344727,-5.199219,0.660059,8.163281,-5.096582,0.517773,8.358496,-5.138379,0.337305,8.385547,-5.381445,-0.621289,-8.237402,-5.281250,-0.804883,-8.155273,-5.204102,-0.600684,-8.281152
5.591699,-0.607129,8.270117,5.598340,-0.617285,8.081543,5.462402,-0.501074,8.056055,5.141992,0.441895,-8.210352,5.250488,0.726660,-8.449902,5.060449,0.704395,-8.347168,-5.199902,0.659082,8.164551,-5.100879,0.518262,8.361133,-5.141406,0.338965,8.388867,-5.381934,-0.623828,-8.237012,-5.281836,-0.804102,-8.155566,-5.205078,-0.601074,-8.282031
5.617285,-0.607617,8.252051,5.626172,-0.617188,8.064160,5.487891,-0.500977,8.042480,5.171875,0.441602,-8.194531,5.279492,0.726855,-8.433008,5.089355,0.704004,-8.327637,-5.230078,0.659766,8.146094,-5.130957,0.518750,8.344727,-5.171680,0.336328,8.370508,-5.413086,-0.621094,-8.216699,-5.313477,-0.804688,-8.136523,-5.236426,-0.602051,-8.261523
5.749609,-0.608008,8.160840,5.755566,-0.615723,7.973340,5.619531,-0.499121,7.950781,5.305762,0.443652,-8.109375,5.418262,0.727734,-8.340625,5.229883,0.703125,-8.244531,-5.366406,0.656934,8.056445,-5.272363,0.517188,8.260352,-5.310937,0.336230,8.282227,-5.554590,-0.615820,-8.130371,-5.453906,-0.804883,-8.045410,-5.378516,-0.602051,-8.172070
5.972363,-0.602148,8.010059,5.971973,-0.610449,7.817871,5.838965,-0.497070,7.805566,5.528223,0.445508,-7.966016,5.642578,0.728320,-8.199609,5.454004,0.700879,-8.107812,-5.587988,0.652734,7.915918,-5.497559,0.512988,8.119336,-5.540332,0.328809,8.140918,-5.775391,-0.608789,-7.981348,-5.674121,-0.802539,-7.899805,-5.605273,-0.600684,-8.028027
