sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
11.266016,-0.616406,16.927441,11.244727,-0.648340,16.539355,10.995605,-0.438184,16.485449,10.373340,0.448828,-16.702832,10.604785,0.919141,-17.197266,10.168359,0.809766,-16.974512,-10.422656,0.801758,16.660352,-10.213574,0.471777,17.048535,-10.337598,0.019727,17.102637,-10.699609,-0.570020,-16.791602,-10.565234,-0.991406,-16.623535,-10.404492,-0.629102,-16.832422
11.266797,-0.615723,16.926855,11.244629,-0.647559,16.538867,10.993945,-0.437891,16.485254,10.373145,0.448926,-16.702051,10.605762,0.919043,-17.197852,10.168164,0.809375,-16.974707,-10.422070,0.800879,16.659180,-10.215039,0.473047,17.054004,-10.335156,0.018848,17.102344,-10.699707,-0.569238,-16.791699,-10.568164,-0.992676,-16.626465,-10.406738,-0.628223,-16.832227
11.269824,-0.616406,16.930859,11.247949,-0.646973,16.542578,10.996191,-0.438477,16.487109,10.375488,0.448535,-16.707031,10.607129,0.919238,-17.199707,10.170117,0.808984,-16.977148,-10.422168,0.800879,16.662793,-10.217578,0.472656,17.057520,-10.338672,0.020020,17.107129,-10.701562,-0.570117,-16.793848,-10.570215,-0.992773,-16.629102,-10.406836,-0.627637,-16.834766
11.265918,-0.616211,16.928125,11.245898,-0.648926,16.541016,10.993848,-0.438672,16.486035,10.371777,0.449316,-16.700293,10.603418,0.916992,-17.201270,10.167578,0.808984,-16.973340,-10.421777,0.801172,16.663672,-10.217676,0.471582,17.057129,-10.334766,0.017969,17.100684,-10.700098,-0.571094,-16.794727,-10.566895,-0.993066,-16.625977,-10.404297,-0.627930,-16.832812
11.265820,-0.614844,16.926758,11.243652,-0.649121,16.537891,10.996191,-0.438281,16.486914,10.371973,0.449316,-16.699902,10.605078,0.918262,-17.197070,10.167188,0.808398,-16.973633,-10.419922,0.800391,16.658008,-10.213281,0.470801,17.050879,-10.338086,0.016211,17.101562,-10.700098,-0.570898,-16.790234,-10.566992,-0.992383,-16.626074,-10.404004,-0.627148,-16.832910
11.267676,-0.614941,16.928906,11.244238,-0.646582,16.540137,10.995020,-0.437598,16.486914,10.371582,0.447949,-16.700391,10.604004,0.917578,-17.197363,10.166797,0.807031,-16.973926,-10.418750,0.799316,16.659766,-10.213672,0.468945,17.051660,-10.335645,0.016797,17.100098,-10.698730,-0.570117,-16.790332,-10.566992,-0.991602,-16.625098,-10.403809,-0.625586,-16.831934
11.269238,-0.615039,16.929199,11.244141,-0.646777,16.538867,10.994629,-0.437012,16.488086,10.371973,0.446777,-16.700879,10.603516,0.916602,-17.198438,10.165918,0.805664,-16.973047,-10.421484,0.797656,16.659863,-10.214746,0.470801,17.056152,-10.336426,0.015137,17.105273,-10.698730,-0.569141,-16.792383,-10.566895,-0.991406,-16.628906,-10.404102,-0.626563,-16.834375
11.270117,-0.614355,16.933105,11.246680,-0.647070,16.543359,10.996680,-0.437402,16.491699,10.374414,0.446875,-16.703223,10.605664,0.918164,-17.200391,10.168652,0.806250,-16.976660,-10.422168,0.800000,16.663086,-10.212500,0.468945,17.052344,-10.337988,0.013867,17.106445,-10.701367,-0.569727,-16.795117,-10.567187,-0.991016,-16.629004,-10.405371,-0.625488,-16.835059
11.268848,-0.613965,16.929980,11.245996,-0.646289,16.543555,10.997461,-0.436914,16.491309,10.373633,0.447852,-16.703516,10.607324,0.918066,-17.200781,10.167480,0.808008,-16.976074,-10.420898,0.799121,16.661426,-10.212207,0.469043,17.052930,-10.337695,0.015332,17.105762,-10.700293,-0.570117,-16.795313,-10.568457,-0.992383,-16.630859,-10.405762,-0.625684,-16.835059
11.271094,-0.615625,16.928516,11.250098,-0.647852,16.540234,11.003027,-0.435547,16.491406,10.377637,0.447363,-16.700195,10.611816,0.915332,-17.196191,10.170312,0.806934,-16.970215,-10.425488,0.798828,16.657227,-10.219141,0.469043,17.050586,-10.340723,0.015820,17.102832,-10.705957,-0.569043,-16.790137,-10.574219,-0.992285,-16.626562,-10.410059,-0.624805,-16.827637
11.332910,-0.613770,16.890137,11.309375,-0.646191,16.501270,11.066309,-0.436328,16.455273,10.441699,0.448828,-16.667871,10.674707,0.914746,-17.165527,10.237207,0.806543,-16.940723,-10.489551,0.797754,16.624609,-10.284082,0.467480,17.017773,-10.405469,0.013867,17.064062,-10.771680,-0.566113,-16.757617,-10.638184,-0.991992,-16.588281,-10.474414,-0.627051,-16.796094
11.351660,-0.613184,16.876660,11.323633,-0.645020,16.485645,11.081445,-0.434766,16.445215,10.456738,0.447070,-16.655371,10.688086,0.917090,-17.153027,10.251855,0.806250,-16.929004,-10.505859,0.795410,16.615723,-10.298242,0.469336,17.005371,-10.421484,0.012793,17.058984,-10.781934,-0.566211,-16.745020,-10.650488,-0.991797,-16.579004,-10.487402,-0.625293,-16.786523
