sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
4.259375,-0.517285,-2.835449,4.155664,-0.487891,-2.830176,4.202832,-0.501172,-2.772559,4.236621,0.444141,2.573145,4.289648,0.500293,2.613477,4.350684,0.539453,2.503027,-4.283301,0.437012,-2.604883,-4.403809,0.483203,-2.529297,-4.352051,0.521191,-2.588184,-4.375586,-0.499023,2.601562,-4.291309,-0.580371,2.620020,-4.351758,-0.548340,2.526270
4.258984,-0.517188,-2.833008,4.155469,-0.487500,-2.831055,4.200977,-0.501563,-2.771387,4.235254,0.442383,2.571484,4.289160,0.499805,2.613086,4.350000,0.539355,2.503613,-4.284180,0.438184,-2.602344,-4.404395,0.483398,-2.526758,-4.352051,0.519727,-2.587598,-4.374609,-0.498340,2.602441,-4.290527,-0.581152,2.622266,-4.351855,-0.549023,2.527051
4.259180,-0.516797,-2.834473,4.155273,-0.486426,-2.829785,4.200879,-0.502246,-2.771094,4.236133,0.443262,2.572949,4.289453,0.499805,2.611719,4.349902,0.539258,2.502832,-4.282129,0.437793,-2.602930,-4.405078,0.483984,-2.527441,-4.351367,0.520215,-2.587988,-4.375000,-0.499609,2.603223,-4.290430,-0.581250,2.622266,-4.350977,-0.548730,2.525781
4.260840,-0.517383,-2.834180,4.154687,-0.488379,-2.831543,4.201270,-0.500977,-2.772070,4.235938,0.442578,2.573633,4.290234,0.502734,2.612695,4.351367,0.539160,2.503516,-4.283105,0.437207,-2.601367,-4.404004,0.482617,-2.528418,-4.353613,0.519043,-2.588477,-4.376465,-0.499609,2.602832,-4.291797,-0.581641,2.619336,-4.350879,-0.547949,2.526172
4.258887,-0.516992,-2.832813,4.155957,-0.487695,-2.831738,4.199316,-0.500391,-2.770313,4.233789,0.441895,2.573633,4.289355,0.501563,2.616309,4.349414,0.539453,2.502441,-4.282324,0.437402,-2.600293,-4.403027,0.484082,-2.527734,-4.351562,0.521191,-2.587109,-4.373828,-0.499707,2.602637,-4.290430,-0.581250,2.621484,-4.350586,-0.547266,2.527734
4.262109,-0.516113,-2.824023,4.160840,-0.488867,-2.824902,4.204785,-0.501563,-2.765332,4.239453,0.441895,2.566211,4.293066,0.500391,2.606055,4.353906,0.539941,2.493262,-4.285547,0.438965,-2.594043,-4.408691,0.483496,-2.517383,-4.355957,0.520215,-2.577344,-4.380762,-0.499219,2.591797,-4.296582,-0.582715,2.611523,-4.356055,-0.548145,2.517187
4.300391,-0.517188,-2.764355,4.198926,-0.489844,-2.766699,4.242480,-0.500488,-2.704590,4.273730,0.441016,2.504102,4.330859,0.502148,2.545020,4.389941,0.539551,2.431055,-4.323145,0.439258,-2.530762,-4.446191,0.482617,-2.454590,-4.394043,0.516797,-2.514355,-4.419531,-0.499219,2.527051,-4.334570,-0.583496,2.547559,-4.394238,-0.546680,2.453223
4.372949,-0.517676,-2.652148,4.270898,-0.486719,-2.654102,4.314160,-0.499609,-2.591016,4.341016,0.442871,2.389355,4.397070,0.505176,2.427148,4.453613,0.541895,2.312988,-4.388965,0.442969,-2.415430,-4.511523,0.483594,-2.336914,-4.460254,0.514062,-2.395508,-4.487305,-0.498828,2.410742,-4.402637,-0.586035,2.431250,-4.460156,-0.547656,2.335547
4.448145,-0.518066,-2.523730,4.346973,-0.489453,-2.526562,4.387500,-0.498828,-2.464355,4.410645,0.441406,2.261719,4.469141,0.508496,2.295996,4.521875,0.544824,2.181934,-4.458496,0.444336,-2.289355,-4.575488,0.481836,-2.204785,-4.528027,0.510156,-2.263672,-4.558008,-0.499023,2.282617,-4.472949,-0.589453,2.303906,-4.528516,-0.548633,2.205371
4.519141,-0.517871,-2.390430,4.417090,-0.490137,-2.400293,4.455859,-0.497266,-2.334277,4.474121,0.442969,2.129980,4.533887,0.510645,2.157715,4.583496,0.543457,2.049414,-4.522656,0.445508,-2.156055,-4.639062,0.482227,-2.071484,-4.590625,0.505762,-2.127637,-4.621973,-0.498730,2.150293,-4.537500,-0.590137,2.172949,-4.592969,-0.546973,2.071875
4.586914,-0.519141,-2.255176,4.484668,-0.491992,-2.265332,4.523535,-0.496289,-2.200977,4.537012,0.443750,1.998633,4.597559,0.515137,2.025781,4.644238,0.545703,1.914355,-4.582227,0.447656,-2.022559,-4.697656,0.481641,-1.937012,-4.650879,0.502832,-1.995508,-4.684961,-0.497754,2.019336,-4.601172,-0.593652,2.040527,-4.653223,-0.549902,1.939746
4.650000,-0.518262,-2.122852,4.546387,-0.492676,-2.133301,4.585449,-0.496191,-2.066895,4.593457,0.443945,1.862891,4.655273,0.518066,1.888867,4.699414,0.546387,1.780859,-4.640430,0.449805,-1.890039,-4.753516,0.481055,-1.800293,-4.708984,0.496680,-1.856641,-4.745508,-0.497656,1.881152,-4.657422,-0.597363,1.905371,-4.710449,-0.549414,1.803223
4.710059,-0.518750,-1.984277,4.608301,-0.493457,-1.999023,4.645313,-0.495703,-1.933203,4.646582,0.444922,1.728516,4.709277,0.520410,1.749414,4.752246,0.551074,1.641699,-4.694238,0.452148,-1.754199,-4.804395,0.481250,-1.661426,-4.761035,0.491406,-1.716016,-4.799023,-0.498340,1.745996,-4.711328,-0.598730,1.770703,-4.762793,-0.549707,1.667090
4.763965,-0.520703,-1.843652,4.663672,-0.493945,-1.863672,4.697070,-0.496777,-1.794922,4.696094,0.444141,1.586719,4.756055,0.523730,1.608789,4.796777,0.552637,1.502832,-4.743262,0.452930,-1.616016,-4.851855,0.480078,-1.521582,-4.807910,0.488867,-1.575293,-4.848340,-0.499414,1.608691,-4.761621,-0.602734,1.634766,-4.809473,-0.549805,1.531836
4.815527,-0.518652,-1.702637,4.716113,-0.495508,-1.724121,4.749316,-0.495312,-1.655469,4.741211,0.445020,1.451855,4.805078,0.527539,1.467871,4.839648,0.554980,1.362402,-4.787598,0.456641,-1.477148,-4.893555,0.480957,-1.380762,-4.850684,0.486328,-1.434961,-4.895996,-0.499707,1.467285,-4.807129,-0.606543,1.494727,-4.854980,-0.551660,1.390332
4.860742,-0.521289,-1.559375,4.761035,-0.496680,-1.582910,4.793848,-0.495117,-1.516992,4.781055,0.445605,1.310449,4.847363,0.530762,1.323438,4.877344,0.557422,1.219141,-4.829102,0.459082,-1.337891,-4.929102,0.482422,-1.236328,-4.889844,0.483887,-1.290430,-4.936816,-0.501367,1.325977,-4.849316,-0.609180,1.356348,-4.894727,-0.551270,1.246094
4.902539,-0.523438,-1.413379,4.805566,-0.497656,-1.443750,4.835742,-0.495996,-1.375684,4.819336,0.443945,1.168066,4.881836,0.534180,1.179590,4.911914,0.559277,1.072559,-4.865137,0.462598,-1.196387,-4.964160,0.482812,-1.093750,-4.922754,0.479492,-1.145215,-4.974512,-0.502734,1.184375,-4.886230,-0.612402,1.213574,-4.929297,-0.553711,1.108008
4.940332,-0.525391,-1.268945,4.842285,-0.499121,-1.301660,4.871973,-0.496094,-1.232715,4.850781,0.444629,1.022461,4.914258,0.536816,1.033301,4.940723,0.562598,0.931836,-4.896973,0.467969,-1.053125,-4.992871,0.482617,-0.949902,-4.953906,0.477246,-1.001465,-5.007422,-0.502930,1.040918,-4.917578,-0.614355,1.069043,-4.958301,-0.556055,0.964746
4.975195,-0.527734,-1.120605,4.879102,-0.500586,-1.157910,4.905566,-0.495410,-1.087891,4.879395,0.445117,0.881641,4.943164,0.540039,0.887305,4.965625,0.564941,0.786426,-4.924316,0.471680,-0.909668,-5.018457,0.481934,-0.805762,-4.980566,0.472949,-0.854102,-5.036035,-0.504395,0.895508,-4.947266,-0.618652,0.926465,-4.986035,-0.554688,0.819824
5.004492,-0.527051,-0.976953,4.908398,-0.503711,-1.015039,4.933789,-0.496387,-0.944727,4.902441,0.445801,0.737695,4.965430,0.543848,0.739844,4.987402,0.567480,0.640527,-4.947070,0.472949,-0.768652,-5.038574,0.483301,-0.659375,-5.002051,0.472168,-0.709082,-5.060937,-0.506055,0.752148,-4.971973,-0.620215,0.781543,-5.009570,-0.557031,0.675195
5.029395,-0.528125,-0.827637,4.936035,-0.504980,-0.869629,4.958203,-0.494434,-0.799512,4.922949,0.446289,0.593262,4.987891,0.545020,0.590137,5.004980,0.569727,0.495312,-4.967090,0.476562,-0.623340,-5.056641,0.483398,-0.511523,-5.020508,0.469922,-0.557520,-5.082129,-0.507422,0.606738,-4.992188,-0.623828,0.640039,-5.028223,-0.557813,0.528711
5.051367,-0.530859,-0.682031,4.957520,-0.507617,-0.723535,4.977441,-0.495410,-0.653906,4.938086,0.446387,0.447363,5.001563,0.549902,0.444141,5.016211,0.570508,0.349609,-4.982324,0.476660,-0.477637,-5.066406,0.484277,-0.365625,-5.034570,0.467090,-0.410254,-5.098242,-0.510156,0.461719,-5.008496,-0.627832,0.493066,-5.042090,-0.558301,0.382422
5.066895,-0.530957,-0.531836,4.974707,-0.508594,-0.575977,4.992188,-0.495898,-0.507031,4.948437,0.446191,0.300684,5.014062,0.551172,0.296191,5.024512,0.572949,0.203027,-4.992773,0.479980,-0.331836,-5.074707,0.485254,-0.216797,-5.041895,0.464648,-0.261133,-5.110645,-0.511523,0.315332,-5.019629,-0.630566,0.349414,-5.051758,-0.558984,0.239063
5.076074,-0.532324,-0.382715,4.986328,-0.510742,-0.428223,5.002344,-0.495801,-0.361328,4.953809,0.446094,0.154004,5.017285,0.555664,0.147070,5.027832,0.575293,0.055957,-4.997070,0.485156,-0.186426,-5.078613,0.486328,-0.073047,-5.044629,0.463672,-0.115332,-5.117188,-0.513281,0.169629,-5.025879,-0.636035,0.203125,-5.056152,-0.559668,0.093555
5.084277,-0.534180,-0.233301,4.995508,-0.511621,-0.279297,5.010937,-0.496680,-0.215234,4.956055,0.445508,0.010645,5.022363,0.558203,-0.002832,5.028223,0.578125,-0.091602,-5.002246,0.487207,-0.039746,-5.078516,0.485449,0.074512,-5.046875,0.460352,0.032813,-5.120703,-0.514453,0.021582,-5.028125,-0.637988,0.056445,-5.057520,-0.559766,-0.054395
5.087500,-0.537109,-0.082617,5.000000,-0.515137,-0.135547,5.012891,-0.497168,-0.067871,4.954883,0.445020,-0.134766,5.017578,0.561035,-0.149609,5.020703,0.581250,-0.235840,-4.998535,0.491016,0.102637,-5.071484,0.486328,0.222852,-5.042676,0.458398,0.181152,-5.118652,-0.516406,-0.123438,-5.027930,-0.641895,-0.087402,-5.054492,-0.560742,-0.198926
5.084570,-0.537695,0.066113,5.000195,-0.518262,0.013770,5.011816,-0.498633,0.079590,4.947070,0.447949,-0.282227,5.011230,0.563477,-0.298828,5.011328,0.583301,-0.383398,-4.991309,0.495605,0.249316,-5.060742,0.487793,0.369238,-5.032227,0.456641,0.331152,-5.113574,-0.520410,-0.269922,-5.020313,-0.643555,-0.235742,-5.044336,-0.562695,-0.345117
5.077441,-0.537402,0.215234,4.994434,-0.520020,0.160059,5.003125,-0.497852,0.226855,4.934668,0.447266,-0.428809,4.999609,0.566602,-0.447461,4.996680,0.585254,-0.528613,-4.977734,0.498047,0.394922,-5.046973,0.488965,0.517188,-5.016895,0.456543,0.476855,-5.101074,-0.522363,-0.416211,-5.008691,-0.645703,-0.379785,-5.031445,-0.562207,-0.490137
5.065234,-0.542090,0.364844,4.985938,-0.521094,0.309473,4.991406,-0.497754,0.371777,4.917285,0.446191,-0.573730,4.982227,0.569434,-0.594141,4.979883,0.588281,-0.675098,-4.963379,0.501660,0.543848,-5.028711,0.490234,0.660840,-5.000488,0.456738,0.623730,-5.086914,-0.524707,-0.563281,-4.996094,-0.649512,-0.525195,-5.015625,-0.562793,-0.637207
5.050977,-0.542383,0.513672,4.971875,-0.523926,0.455078,4.976660,-0.498047,0.518359,4.899219,0.446387,-0.716016,4.961523,0.571777,-0.741504,4.954883,0.590430,-0.817676,-4.946191,0.506250,0.683984,-5.002246,0.489941,0.805859,-4.978223,0.454590,0.768945,-5.069531,-0.528906,-0.708398,-4.977246,-0.652637,-0.669531,-4.994141,-0.564355,-0.783398
5.030859,-0.545020,0.662793,4.953906,-0.526563,0.601465,4.956641,-0.499902,0.666602,4.875684,0.448926,-0.864355,4.938086,0.576367,-0.891406,4.927539,0.593945,-0.965137,-4.920215,0.511230,0.827441,-4.975781,0.490820,0.952734,-4.949902,0.453320,0.917773,-5.044336,-0.530371,-0.855273,-4.952539,-0.656641,-0.816113,-4.970313,-0.566504,-0.925879
5.007031,-0.546484,0.811035,4.932812,-0.528418,0.748437,4.932910,-0.501270,0.808594,4.847949,0.448047,-1.005371,4.910547,0.578711,-1.034668,4.897949,0.596777,-1.108496,-4.892773,0.511426,0.972266,-4.944238,0.490332,1.095801,-4.921387,0.452246,1.061133,-5.017285,-0.533301,-0.998437,-4.926563,-0.659375,-0.958008,-4.941895,-0.567773,-1.069043
4.978418,-0.548438,0.960547,4.907227,-0.531348,0.894824,4.902344,-0.501855,0.955371,4.815332,0.449121,-1.150586,4.876465,0.582812,-1.179004,4.861328,0.598730,-1.249902,-4.860742,0.517480,1.115039,-4.907520,0.492578,1.239551,-4.886719,0.452344,1.205469,-4.986035,-0.536621,-1.141895,-4.894531,-0.661914,-1.101660,-4.907031,-0.569629,-1.211328
4.944629,-0.549805,1.104980,4.877148,-0.533984,1.038379,4.870605,-0.502051,1.100586,4.777637,0.447754,-1.289551,4.838281,0.584180,-1.324512,4.820801,0.600781,-1.391504,-4.825098,0.519629,1.252148,-4.866992,0.493848,1.381055,-4.847949,0.452246,1.350195,-4.951074,-0.540430,-1.284082,-4.856934,-0.665137,-1.241797,-4.868359,-0.568652,-1.352832
4.905176,-0.552051,1.249609,4.841797,-0.537988,1.182422,4.831543,-0.504004,1.241895,4.735938,0.449219,-1.431250,4.795898,0.589063,-1.467871,4.776953,0.605469,-1.533203,-4.781250,0.522852,1.393750,-4.822070,0.496973,1.521875,-4.802930,0.451465,1.489551,-4.911523,-0.543750,-1.423535,-4.814746,-0.668555,-1.383301,-4.825098,-0.570703,-1.492871
4.863477,-0.555176,1.396191,4.800684,-0.541602,1.322656,4.791016,-0.503223,1.383496,4.690332,0.449023,-1.570898,4.749023,0.591211,-1.609375,4.730078,0.607617,-1.669727,-4.736426,0.525195,1.533496,-4.773340,0.497656,1.658301,-4.754785,0.450586,1.631445,-4.865820,-0.547656,-1.563184,-4.771289,-0.670508,-1.522266,-4.779395,-0.571582,-1.631543
4.813379,-0.557813,1.547168,4.753711,-0.543750,1.473047,4.740234,-0.505469,1.530273,4.635254,0.449023,-1.714844,4.696289,0.595117,-1.759375,4.670801,0.609961,-1.815039,-4.682812,0.527441,1.677637,-4.713965,0.499609,1.804102,-4.697656,0.450391,1.778223,-4.812305,-0.552051,-1.710449,-4.719238,-0.674609,-1.668262,-4.724609,-0.572559,-1.776953
4.760840,-0.558887,1.691504,4.704688,-0.545020,1.617871,4.688770,-0.506348,1.672070,4.581738,0.449121,-1.857129,4.637891,0.597070,-1.900391,4.611816,0.612891,-1.954102,-4.626074,0.532031,1.818359,-4.656445,0.500195,1.945703,-4.639160,0.449902,1.918945,-4.757520,-0.556250,-1.853809,-4.663770,-0.677148,-1.808496,-4.666602,-0.575391,-1.916504
4.704102,-0.562012,1.827832,4.650586,-0.547852,1.757812,4.632129,-0.506934,1.810156,4.521777,0.448926,-1.993848,4.579492,0.598730,-2.036426,4.550293,0.617578,-2.088867,-4.567480,0.536328,1.951660,-4.592187,0.502832,2.079297,-4.578613,0.453809,2.057031,-4.698242,-0.559863,-1.987598,-4.605176,-0.680469,-1.944629,-4.607129,-0.576660,-2.050000
4.643262,-0.563770,1.971094,4.594727,-0.549121,1.893359,4.576953,-0.509473,1.947168,4.460254,0.449023,-2.125879,4.516992,0.601758,-2.174805,4.485840,0.620117,-2.220703,-4.507520,0.538965,2.084570,-4.529980,0.503516,2.211816,-4.513965,0.454004,2.189062,-4.637598,-0.563086,-2.120703,-4.545020,-0.684180,-2.075781,-4.544043,-0.576660,-2.180566
4.581543,-0.567090,2.106348,4.533496,-0.554688,2.024609,4.512598,-0.510254,2.080371,4.395703,0.448633,-2.256836,4.448340,0.604102,-2.304297,4.417187,0.622363,-2.351562,-4.441406,0.543750,2.213086,-4.460059,0.504199,2.340430,-4.445996,0.454297,2.321289,-4.572461,-0.568848,-2.251953,-4.479590,-0.687305,-2.207129,-4.476270,-0.577246,-2.310742
4.514746,-0.568457,2.240723,4.469629,-0.557617,2.159277,4.445801,-0.512109,2.210742,4.324316,0.449414,-2.387109,4.377734,0.607031,-2.435547,4.344727,0.625391,-2.477539,-4.371777,0.547461,2.339551,-4.386133,0.507520,2.466211,-4.371387,0.454980,2.450488,-4.501953,-0.572656,-2.379590,-4.411035,-0.689746,-2.335059,-4.406055,-0.576465,-2.437988
