sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
4.146387,-0.526172,-3.021094,4.041602,-0.495703,-3.014453,4.087109,-0.510449,-2.955664,4.128418,0.453613,2.756641,4.183105,0.506445,2.806348,4.244629,0.548926,2.690137,-4.172363,0.439160,-2.782422,-4.302637,0.492578,-2.719922,-4.246094,0.535937,-2.778711,-4.268066,-0.508984,2.791602,-4.182520,-0.584863,2.804883,-4.245020,-0.553906,2.714551
4.145508,-0.525488,-3.023438,4.042187,-0.496191,-3.013184,4.086035,-0.509766,-2.956445,4.127832,0.455078,2.759375,4.181055,0.508398,2.804395,4.246875,0.549609,2.690625,-4.170703,0.440039,-2.784668,-4.302637,0.491895,-2.720703,-4.247168,0.536230,-2.779004,-4.267578,-0.509863,2.791016,-4.183691,-0.585938,2.807910,-4.244043,-0.555273,2.714551
4.144824,-0.525977,-3.022656,4.042480,-0.495605,-3.014551,4.087500,-0.509766,-2.955762,4.128027,0.452930,2.759277,4.180859,0.508789,2.805273,4.247559,0.547363,2.689160,-4.172168,0.441504,-2.782715,-4.305273,0.492480,-2.721387,-4.245996,0.536719,-2.777930,-4.267480,-0.508984,2.792773,-4.184180,-0.585156,2.808496,-4.245117,-0.555273,2.713770
4.145898,-0.524512,-3.021582,4.041406,-0.496191,-3.016211,4.086816,-0.510352,-2.956152,4.127441,0.451172,2.760840,4.181836,0.508398,2.805078,4.245898,0.549121,2.692188,-4.172266,0.441797,-2.781934,-4.304102,0.491797,-2.720117,-4.248145,0.535254,-2.777832,-4.268945,-0.510254,2.792285,-4.183301,-0.585742,2.807129,-4.244531,-0.556445,2.713281
4.147070,-0.525195,-3.024512,4.043652,-0.495703,-3.015430,4.087695,-0.510059,-2.958887,4.128613,0.451660,2.760156,4.182324,0.507812,2.808008,4.247070,0.549219,2.692871,-4.172266,0.440039,-2.783691,-4.303418,0.490527,-2.719629,-4.247656,0.535059,-2.781152,-4.268457,-0.509277,2.791992,-4.183105,-0.584570,2.806836,-4.244043,-0.554980,2.714453
4.145703,-0.524414,-3.023730,4.042578,-0.495410,-3.016309,4.087988,-0.509766,-2.956836,4.128125,0.451172,2.759375,4.182227,0.507324,2.807227,4.247266,0.548926,2.693262,-4.173926,0.440625,-2.783105,-4.301855,0.491602,-2.717188,-4.246777,0.534473,-2.779102,-4.266309,-0.508887,2.791699,-4.184180,-0.584766,2.807129,-4.244434,-0.555078,2.715918
4.146289,-0.524805,-3.022559,4.044336,-0.496094,-3.016016,4.087207,-0.508887,-2.958105,4.128125,0.451074,2.762012,4.183887,0.508398,2.806738,4.247949,0.548730,2.692285,-4.174121,0.440137,-2.786328,-4.302441,0.491699,-2.720605,-4.247461,0.534375,-2.777930,-4.267285,-0.509668,2.790723,-4.184766,-0.585449,2.807617,-4.243359,-0.554297,2.713770
4.145996,-0.524512,-3.022754,4.043359,-0.497363,-3.015234,4.087598,-0.508594,-2.956348,4.129004,0.450488,2.758203,4.181348,0.506934,2.807910,4.246777,0.548047,2.690527,-4.173438,0.439746,-2.785645,-4.302930,0.490527,-2.718945,-4.246094,0.533691,-2.779492,-4.267676,-0.508789,2.790723,-4.182812,-0.585254,2.807520,-4.242188,-0.554102,2.713574
4.145215,-0.524707,-3.023340,4.041992,-0.495898,-3.014258,4.088770,-0.508008,-2.956055,4.128027,0.451074,2.759668,4.181738,0.506836,2.808398,4.246582,0.549121,2.690723,-4.172949,0.439941,-2.784961,-4.302148,0.490430,-2.717578,-4.245703,0.535254,-2.777930,-4.267383,-0.508594,2.791699,-4.183789,-0.583887,2.807129,-4.243262,-0.555762,2.713086
4.137793,-0.523340,-3.035547,4.032422,-0.493945,-3.030273,4.077637,-0.508398,-2.969141,4.119922,0.450586,2.772559,4.171875,0.506641,2.823145,4.237891,0.547363,2.704785,-4.162891,0.440820,-2.798145,-4.292676,0.491016,-2.736328,-4.235742,0.534961,-2.794434,-4.256250,-0.508496,2.808691,-4.172559,-0.583887,2.825293,-4.233203,-0.553809,2.733398
