sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
-0.268457,19.194922,-0.301074,-0.363867,18.906641,-0.181836,-0.504297,18.977051,-0.503613,-0.062988,-18.884180,0.442383,-0.221680,-19.203711,0.059961,-0.601953,-18.758887,0.122852,0.226758,-18.755176,0.742969,0.317090,-18.813574,0.446582,0.691211,-18.935254,0.154102,0.888184,18.865234,-0.563672,0.153418,18.721973,-0.752344,0.124512,18.737109,-0.461816
-0.266699,19.199316,-0.301855,-0.364551,18.907520,-0.182324,-0.504395,18.976953,-0.503418,-0.064355,-18.881445,0.442871,-0.222266,-19.202734,0.060547,-0.603418,-18.757910,0.124414,0.226953,-18.755664,0.741992,0.318164,-18.815625,0.444922,0.693066,-18.936035,0.152930,0.887988,18.868066,-0.565625,0.151172,18.722461,-0.754102,0.123926,18.735937,-0.459766
-0.269727,19.197168,-0.303223,-0.363281,18.906152,-0.181055,-0.505371,18.979492,-0.504004,-0.063574,-18.883301,0.440137,-0.222559,-19.202539,0.060254,-0.603516,-18.760059,0.121973,0.227734,-18.754687,0.742480,0.318750,-18.810156,0.446777,0.691797,-18.932813,0.151465,0.889746,18.867188,-0.565137,0.150977,18.723047,-0.752734,0.125293,18.736523,-0.461230
-0.268457,19.197461,-0.301660,-0.364746,18.905762,-0.180371,-0.505469,18.979883,-0.504297,-0.064355,-18.884863,0.442090,-0.221973,-19.199707,0.059082,-0.603711,-18.758887,0.123242,0.226855,-18.754199,0.741016,0.315723,-18.809668,0.446777,0.691602,-18.933789,0.152539,0.888770,18.867285,-0.564453,0.152930,18.720312,-0.752832,0.123926,18.735840,-0.459961
-0.269824,19.199316,-0.300977,-0.362891,18.906543,-0.181641,-0.505664,18.980762,-0.505566,-0.063867,-18.883887,0.440039,-0.220410,-19.199316,0.058789,-0.603125,-18.756055,0.121582,0.229883,-18.753906,0.742773,0.317969,-18.811035,0.446875,0.694238,-18.932813,0.152051,0.888086,18.867188,-0.566211,0.151270,18.722754,-0.751758,0.125293,18.736523,-0.459668
-0.267676,19.198145,-0.303516,-0.364160,18.905762,-0.181250,-0.505078,18.977246,-0.503223,-0.063965,-18.883594,0.440625,-0.223926,-19.200195,0.059082,-0.602832,-18.756250,0.121387,0.228809,-18.754687,0.742969,0.318555,-18.812207,0.449121,0.692383,-18.934863,0.151758,0.887305,18.863965,-0.565625,0.151855,18.720996,-0.751953,0.123730,18.733203,-0.461133
-0.270215,19.198145,-0.302051,-0.364551,18.905957,-0.179980,-0.506641,18.978320,-0.503223,-0.063184,-18.883984,0.439355,-0.221582,-19.204102,0.062012,-0.603125,-18.756348,0.120508,0.225586,-18.758691,0.741602,0.317578,-18.811133,0.447363,0.692676,-18.937207,0.151270,0.887988,18.864355,-0.565918,0.153125,18.720215,-0.752246,0.125195,18.733301,-0.460742
-0.270605,19.197461,-0.300391,-0.366504,18.907227,-0.180859,-0.505176,18.978809,-0.502734,-0.064355,-18.883984,0.439941,-0.222754,-19.201270,0.060352,-0.603613,-18.758789,0.123242,0.227734,-18.758203,0.740527,0.317969,-18.812695,0.445801,0.693555,-18.934473,0.153027,0.888770,18.863086,-0.565137,0.152246,18.719824,-0.752148,0.125195,18.730469,-0.461426
-0.270215,19.200098,-0.300293,-0.364844,18.907812,-0.182031,-0.505664,18.977637,-0.502246,-0.063477,-18.882227,0.441699,-0.221387,-19.200000,0.060254,-0.603516,-18.757031,0.121191,0.228027,-18.758594,0.740918,0.316504,-18.812891,0.446387,0.692480,-18.935059,0.153223,0.890234,18.862598,-0.565234,0.152148,18.720508,-0.752148,0.125195,18.732520,-0.463086
-0.268164,19.197852,-0.302441,-0.364648,18.907031,-0.180176,-0.505176,18.981152,-0.503320,-0.064453,-18.881348,0.441016,-0.222266,-19.200195,0.061914,-0.604004,-18.756738,0.123145,0.226660,-18.754980,0.741895,0.316797,-18.812500,0.445801,0.692676,-18.934668,0.154004,0.889258,18.865234,-0.565332,0.152539,18.718945,-0.751172,0.124707,18.730469,-0.460742
