sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
-0.218555,4.874121,-0.185449,-0.215234,4.811035,-0.134766,-0.281250,4.846484,-0.243555,-0.125684,-4.919434,0.176367,-0.161328,-4.928711,0.086230,-0.203223,-4.758984,0.097754,0.159375,-4.823437,0.080371,0.164160,-4.809277,-0.015723,0.281445,-4.780469,-0.089355,0.210742,4.735156,-0.052637,0.074805,4.730566,-0.091406,0.063965,4.777930,-0.034180
-0.216504,4.874512,-0.186523,-0.216797,4.811914,-0.135937,-0.281836,4.845313,-0.241895,-0.125195,-4.919824,0.176953,-0.161426,-4.927441,0.086035,-0.204102,-4.761328,0.097656,0.158887,-4.823242,0.079004,0.163281,-4.810449,-0.017188,0.281738,-4.780078,-0.091699,0.210156,4.734570,-0.053027,0.076074,4.730273,-0.094141,0.064062,4.777051,-0.033984
-0.217285,4.875391,-0.188770,-0.216699,4.810840,-0.135059,-0.280469,4.846582,-0.240430,-0.125391,-4.919727,0.176172,-0.163477,-4.928711,0.085449,-0.203223,-4.759961,0.098437,0.157715,-4.823926,0.082129,0.164160,-4.811523,-0.016797,0.282422,-4.782227,-0.089746,0.210059,4.735059,-0.054492,0.076367,4.729297,-0.091309,0.064746,4.777637,-0.034082
-0.217969,4.876172,-0.186133,-0.217773,4.813086,-0.134668,-0.280371,4.845996,-0.242676,-0.124805,-4.920410,0.176074,-0.163672,-4.931055,0.087207,-0.203223,-4.758789,0.098730,0.158789,-4.823242,0.081738,0.163184,-4.811328,-0.015137,0.281641,-4.781738,-0.091992,0.210352,4.735938,-0.054395,0.075195,4.731641,-0.093652,0.063867,4.778809,-0.033398
-0.216797,4.875488,-0.187500,-0.216016,4.811816,-0.136816,-0.281348,4.844629,-0.242285,-0.125000,-4.918945,0.174707,-0.161816,-4.928223,0.084668,-0.203516,-4.759668,0.100391,0.157910,-4.823437,0.081738,0.162109,-4.811816,-0.015430,0.281348,-4.784180,-0.088770,0.210742,4.735742,-0.054102,0.075977,4.730176,-0.092871,0.064844,4.778320,-0.036523
-0.217383,4.874316,-0.184961,-0.216992,4.811621,-0.135352,-0.280566,4.844727,-0.241504,-0.122852,-4.918555,0.174316,-0.161035,-4.926563,0.086523,-0.203711,-4.759375,0.097852,0.158105,-4.824023,0.079785,0.164648,-4.812305,-0.013672,0.281055,-4.781348,-0.090332,0.210449,4.736035,-0.052832,0.075000,4.730469,-0.094238,0.063965,4.778125,-0.035645
-0.217285,4.873730,-0.183691,-0.216602,4.812500,-0.135449,-0.280469,4.844824,-0.241406,-0.125391,-4.919824,0.174609,-0.161621,-4.927051,0.083984,-0.203613,-4.759766,0.100586,0.159180,-4.820996,0.081250,0.164160,-4.811035,-0.013574,0.281934,-4.782520,-0.088574,0.211328,4.734180,-0.055273,0.074219,4.729297,-0.091406,0.065039,4.777539,-0.035645
-0.217383,4.874316,-0.187207,-0.215723,4.812500,-0.137207,-0.279687,4.845801,-0.244043,-0.125195,-4.920898,0.175195,-0.161816,-4.927637,0.085840,-0.201465,-4.757910,0.099219,0.158301,-4.824609,0.082129,0.163574,-4.812012,-0.013965,0.281934,-4.781543,-0.090723,0.209668,4.735547,-0.054199,0.075586,4.730566,-0.092090,0.064746,4.775684,-0.035156
-0.217480,4.872949,-0.184180,-0.215918,4.811914,-0.136230,-0.280273,4.845508,-0.243359,-0.125586,-4.920508,0.175488,-0.161133,-4.927148,0.085547,-0.202051,-4.758105,0.098730,0.158887,-4.824121,0.080762,0.165039,-4.808203,-0.014160,0.281641,-4.780566,-0.089355,0.209277,4.734863,-0.054297,0.075977,4.729785,-0.093457,0.065234,4.776953,-0.036719
-0.217871,4.873633,-0.184961,-0.215918,4.811230,-0.136230,-0.281543,4.846582,-0.242090,-0.125391,-4.919336,0.178613,-0.163086,-4.928125,0.085059,-0.203809,-4.756543,0.100684,0.158594,-4.820898,0.079785,0.163086,-4.808594,-0.015137,0.282227,-4.781055,-0.089844,0.209766,4.734961,-0.053906,0.074902,4.729199,-0.094727,0.065137,4.775586,-0.035059
-0.217480,4.873242,-0.185938,-0.216895,4.809473,-0.134863,-0.280859,4.845996,-0.242578,-0.124707,-4.918555,0.174414,-0.161719,-4.927637,0.085742,-0.202148,-4.755957,0.098437,0.158984,-4.823047,0.082031,0.162988,-4.808008,-0.015137,0.281836,-4.783301,-0.091309,0.209961,4.733984,-0.055664,0.075195,4.729980,-0.092871,0.064551,4.775977,-0.034277
-0.216895,4.874023,-0.184961,-0.215723,4.810352,-0.135645,-0.281934,4.844727,-0.242188,-0.124902,-4.920410,0.175488,-0.161719,-4.925586,0.086035,-0.203027,-4.757617,0.098047,0.159082,-4.820508,0.082031,0.162988,-4.809473,-0.012598,0.282422,-4.782129,-0.089063,0.210059,4.734082,-0.054199,0.076074,4.729687,-0.092773,0.065527,4.774219,-0.034277
-0.216211,4.871582,-0.185840,-0.216016,4.810059,-0.136914,-0.279395,4.845020,-0.243066,-0.124609,-4.919141,0.176367,-0.160352,-4.924707,0.086328,-0.202441,-4.758398,0.098828,0.157129,-4.822070,0.082617,0.163086,-4.809277,-0.014355,0.281543,-4.781055,-0.087891,0.210156,4.734473,-0.054395,0.076855,4.728418,-0.092676,0.064551,4.774707,-0.034863
-0.218359,4.872949,-0.185352,-0.216016,4.809766,-0.136328,-0.280273,4.845801,-0.242090,-0.124707,-4.920117,0.174902,-0.161133,-4.928125,0.085156,-0.202734,-4.756543,0.098730,0.158105,-4.820996,0.080566,0.163867,-4.807812,-0.015723,0.282520,-4.780664,-0.090234,0.210547,4.735352,-0.052051,0.074805,4.729199,-0.093164,0.064062,4.774902,-0.036133
