sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
0.227637,18.417773,-0.476270,0.138672,18.187695,-0.360840,0.002051,18.269336,-0.667773,0.443457,-18.220996,0.583398,0.340332,-18.501074,0.216211,-0.048438,-18.224121,0.262891,-0.273438,-18.121777,0.537402,-0.179297,-18.134473,0.266504,0.164551,-18.251074,-0.026074,0.344434,18.215234,-0.361230,-0.372656,18.063184,-0.535840,-0.402148,18.187598,-0.264062
0.228320,18.416992,-0.474121,0.138574,18.186719,-0.360742,0.002539,18.269629,-0.666113,0.442773,-18.218652,0.585742,0.339258,-18.499316,0.218750,-0.047559,-18.220312,0.263184,-0.273047,-18.122168,0.538086,-0.179102,-18.137109,0.262207,0.162012,-18.253125,-0.027637,0.342480,18.214258,-0.361621,-0.375098,18.061621,-0.536328,-0.402930,18.186621,-0.261133
0.228906,18.417676,-0.472070,0.138867,18.188379,-0.359570,0.000293,18.270020,-0.667480,0.441602,-18.216504,0.583984,0.338281,-18.497461,0.216406,-0.049023,-18.224219,0.263965,-0.271289,-18.124707,0.541797,-0.178906,-18.136621,0.266113,0.165039,-18.252344,-0.028516,0.344141,18.216211,-0.362109,-0.372266,18.060156,-0.537109,-0.403125,18.185742,-0.262500
0.227539,18.416797,-0.471094,0.139160,18.187109,-0.358789,0.001660,18.268555,-0.665039,0.441113,-18.216016,0.582715,0.338184,-18.496484,0.215137,-0.051855,-18.221387,0.263574,-0.270020,-18.129883,0.540723,-0.176563,-18.139551,0.264551,0.165527,-18.253906,-0.028320,0.345605,18.213770,-0.363672,-0.371387,18.060742,-0.536426,-0.399414,18.185938,-0.263379
0.228027,18.418164,-0.471289,0.138770,18.189062,-0.358301,0.001465,18.266211,-0.664355,0.442969,-18.214551,0.581836,0.339453,-18.496484,0.214551,-0.049902,-18.221289,0.260840,-0.270703,-18.128027,0.543066,-0.177539,-18.137500,0.264355,0.162891,-18.254395,-0.024707,0.343750,18.214355,-0.362793,-0.375000,18.060254,-0.537207,-0.401758,18.185645,-0.264355
0.227051,18.416211,-0.471973,0.136621,18.187695,-0.360547,0.000098,18.265918,-0.667480,0.440625,-18.216016,0.582812,0.337207,-18.498242,0.218262,-0.052246,-18.221191,0.263086,-0.270410,-18.133496,0.543750,-0.173730,-18.138672,0.262793,0.165137,-18.258594,-0.028320,0.347461,18.213086,-0.364648,-0.371484,18.062207,-0.537500,-0.400488,18.185254,-0.263574
0.221191,18.417676,-0.471289,0.132520,18.185840,-0.357910,-0.002832,18.266992,-0.663867,0.437012,-18.214746,0.581348,0.332813,-18.498828,0.212305,-0.056250,-18.220410,0.259766,-0.265723,-18.132227,0.543848,-0.170801,-18.136133,0.267480,0.170703,-18.257227,-0.025586,0.352344,18.216699,-0.363379,-0.369434,18.062109,-0.537891,-0.397070,18.188574,-0.267285
0.214746,18.418848,-0.467871,0.124609,18.189160,-0.352930,-0.011914,18.270215,-0.660937,0.427539,-18.216211,0.576660,0.324512,-18.497266,0.209473,-0.063086,-18.218750,0.253418,-0.254102,-18.132910,0.548828,-0.163379,-18.141309,0.270996,0.179199,-18.257129,-0.020801,0.360840,18.218262,-0.365625,-0.359375,18.065918,-0.544727,-0.385937,18.190527,-0.268945
0.202246,18.416895,-0.461621,0.114355,18.189258,-0.345508,-0.024316,18.269043,-0.653320,0.415527,-18.220508,0.570410,0.311035,-18.498145,0.201855,-0.077637,-18.220801,0.254004,-0.244434,-18.132422,0.553418,-0.151758,-18.144727,0.275586,0.189160,-18.259277,-0.015625,0.371484,18.218652,-0.373047,-0.348340,18.064160,-0.550781,-0.374902,18.190527,-0.276270
0.190527,18.416797,-0.457813,0.104102,18.186816,-0.342676,-0.036328,18.268848,-0.648145,0.404102,-18.218164,0.568652,0.300879,-18.499512,0.202246,-0.089844,-18.223242,0.248438,-0.234863,-18.132324,0.557227,-0.139063,-18.145508,0.278711,0.202246,-18.258887,-0.010840,0.382812,18.218262,-0.376367,-0.336816,18.064453,-0.552441,-0.363086,18.190527,-0.279980
