sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
15.113184,-0.528320,-14.533203,14.626953,-0.427344,-14.470313,14.840625,-0.577148,-14.164160,15.015332,0.732910,13.587012,15.233203,0.577539,13.723242,15.307520,0.545312,13.247070,-15.042188,0.369629,-13.639746,-15.486230,0.527930,-13.387012,-15.258691,0.509180,-13.520703,-15.024512,-0.217969,13.579590,-14.917285,-0.612695,13.625391,-15.239160,-0.714063,13.520215
15.115332,-0.528125,-14.536523,14.625781,-0.426465,-14.470605,14.842871,-0.576074,-14.166504,15.013965,0.734082,13.588086,15.235449,0.577441,13.726074,15.309082,0.544238,13.246582,-15.040820,0.370996,-13.642578,-15.483105,0.527051,-13.387793,-15.261914,0.510156,-13.525488,-15.023535,-0.218262,13.580176,-14.913770,-0.611816,13.623145,-15.243066,-0.713086,13.520605
15.117871,-0.526855,-14.537500,14.627148,-0.427148,-14.469043,14.843164,-0.576758,-14.164844,15.013965,0.732227,13.584863,15.234766,0.575488,13.720996,15.307227,0.543750,13.246680,-15.042578,0.371777,-13.644141,-15.486523,0.526758,-13.388184,-15.261426,0.508203,-13.520898,-15.024023,-0.219727,13.576465,-14.913672,-0.612109,13.622656,-15.241895,-0.713867,13.520312
15.115430,-0.526953,-14.533105,14.625391,-0.427734,-14.466113,14.840332,-0.576367,-14.160059,15.012305,0.731836,13.582910,15.232617,0.577051,13.722852,15.307422,0.543555,13.244043,-15.041992,0.373633,-13.640234,-15.487793,0.525098,-13.386523,-15.264453,0.507910,-13.523340,-15.021973,-0.218066,13.577246,-14.910449,-0.611230,13.618848,-15.238672,-0.715430,13.515625
15.115039,-0.526465,-14.537305,14.620801,-0.427930,-14.465625,14.841602,-0.575195,-14.162207,15.008008,0.731250,13.580957,15.231445,0.576172,13.724609,15.306641,0.544531,13.243750,-15.040625,0.372070,-13.639844,-15.487305,0.526074,-13.386523,-15.262891,0.506250,-13.523633,-15.022559,-0.218652,13.577539,-14.908008,-0.611523,13.616992,-15.237500,-0.712988,13.515332
15.118164,-0.526563,-14.535840,14.626660,-0.429590,-14.470605,14.838379,-0.575684,-14.163379,15.009668,0.732324,13.584180,15.230957,0.574902,13.722266,15.305273,0.545703,13.241211,-15.042969,0.371289,-13.640137,-15.481836,0.526855,-13.380273,-15.262402,0.506445,-13.523633,-15.024414,-0.216992,13.577148,-14.911133,-0.611719,13.621289,-15.239551,-0.715332,13.516895
15.115918,-0.527246,-14.532129,14.622949,-0.428711,-14.465527,14.839258,-0.577344,-14.158691,15.010938,0.731934,13.579102,15.229688,0.576660,13.718652,15.302832,0.544629,13.242871,-15.039062,0.373535,-13.637207,-15.485352,0.527832,-13.384473,-15.261230,0.507910,-13.523242,-15.019336,-0.217285,13.574902,-14.911816,-0.613574,13.619043,-15.240039,-0.714160,13.516113
15.112305,-0.526367,-14.532617,14.622266,-0.429297,-14.465625,14.836719,-0.577734,-14.158789,15.009863,0.731934,13.584082,15.225977,0.577051,13.718750,15.301855,0.544043,13.242188,-15.036133,0.372070,-13.637598,-15.487109,0.527637,-13.388672,-15.262598,0.508496,-13.526953,-15.020898,-0.217383,13.575391,-14.913184,-0.612988,13.621484,-15.237695,-0.714160,13.516016
15.113965,-0.525879,-14.533887,14.624219,-0.429492,-14.465918,14.837891,-0.576172,-14.156836,15.010547,0.732422,13.582812,15.229688,0.576855,13.720117,15.301367,0.543164,13.242090,-15.039160,0.372656,-13.637793,-15.488281,0.527051,-13.388672,-15.263770,0.506934,-13.525684,-15.020312,-0.218848,13.573633,-14.912109,-0.611523,13.619629,-15.238965,-0.712988,13.516211
15.115332,-0.527344,-14.532910,14.627148,-0.427246,-14.468359,14.840137,-0.576855,-14.160937,15.009668,0.732812,13.580566,15.228906,0.576465,13.719727,15.304883,0.542676,13.240430,-15.043555,0.372656,-13.641895,-15.486230,0.524902,-13.383984,-15.264746,0.507031,-13.522363,-15.020312,-0.217285,13.573828,-14.910254,-0.612500,13.619434,-15.238379,-0.714746,13.514453
