sensor_1_x,sensor_1_y,sensor_1_z,sensor_2_x,sensor_2_y,sensor_2_z,sensor_3_x,sensor_3_y,sensor_3_z,sensor_4_x,sensor_4_y,sensor_4_z,sensor_5_x,sensor_5_y,sensor_5_z,sensor_6_x,sensor_6_y,sensor_6_z,sensor_7_x,sensor_7_y,sensor_7_z,sensor_8_x,sensor_8_y,sensor_8_z,sensor_9_x,sensor_9_y,sensor_9_z,sensor_10_x,sensor_10_y,sensor_10_z,sensor_11_x,sensor_11_y,sensor_11_z,sensor_12_x,sensor_12_y,sensor_12_z
3.181152,-0.599512,3.512109,3.185449,-0.580762,3.423437,3.151562,-0.519141,3.474121,2.994922,0.439551,-3.607129,3.018262,0.611230,-3.658008,2.999414,0.639160,-3.685645,-3.067285,0.574902,3.571289,-3.032617,0.529102,3.666211,-3.025000,0.489551,3.672656,-3.183203,-0.612598,-3.596973,-3.110156,-0.704492,-3.560449,-3.082617,-0.586230,-3.649414
3.180859,-0.598535,3.515625,3.185840,-0.581250,3.423340,3.151660,-0.518262,3.476758,2.997461,0.439941,-3.607715,3.019824,0.611133,-3.660059,3.000098,0.638379,-3.685059,-3.068457,0.575293,3.572461,-3.033789,0.528125,3.667676,-3.026074,0.489844,3.672949,-3.184570,-0.613867,-3.598828,-3.112988,-0.705176,-3.562402,-3.084180,-0.587891,-3.649512
3.182031,-0.599512,3.515332,3.187012,-0.582715,3.423535,3.151953,-0.519629,3.474609,2.996973,0.441309,-3.606348,3.019922,0.611816,-3.654688,2.999902,0.638574,-3.682812,-3.067773,0.575488,3.568750,-3.034766,0.527441,3.668359,-3.025781,0.491016,3.671680,-3.184082,-0.613672,-3.598633,-3.112988,-0.704688,-3.562695,-3.083203,-0.588281,-3.649219
3.181738,-0.599316,3.512109,3.186328,-0.580859,3.421777,3.150684,-0.517871,3.475195,2.995410,0.441211,-3.606543,3.019141,0.610254,-3.656055,3.001074,0.637207,-3.683691,-3.066504,0.576367,3.570508,-3.034766,0.528320,3.667578,-3.026855,0.492285,3.668945,-3.184668,-0.612598,-3.597363,-3.112500,-0.705273,-3.560254,-3.083691,-0.588184,-3.648926
3.183203,-0.599902,3.514648,3.187695,-0.581250,3.423047,3.153906,-0.518262,3.475195,2.997070,0.443359,-3.604492,3.019727,0.610938,-3.654980,3.002539,0.638672,-3.685645,-3.067676,0.575781,3.567188,-3.034766,0.528223,3.667871,-3.027734,0.491016,3.671484,-3.185840,-0.612695,-3.596680,-3.113379,-0.705469,-3.559668,-3.084277,-0.585742,-3.648535
3.181348,-0.600488,3.514844,3.186719,-0.581152,3.422070,3.151270,-0.519434,3.473730,2.995898,0.440918,-3.606543,3.019824,0.611230,-3.656055,2.999512,0.639551,-3.685059,-3.066016,0.575879,3.572559,-3.033887,0.528125,3.668750,-3.026367,0.491406,3.674219,-3.183887,-0.614062,-3.598145,-3.111328,-0.705859,-3.561719,-3.083789,-0.587500,-3.649609
3.180566,-0.600000,3.513867,3.186426,-0.581738,3.422070,3.153320,-0.518359,3.475293,2.996094,0.440625,-3.603809,3.018359,0.612598,-3.651758,2.999023,0.639844,-3.684180,-3.067090,0.574316,3.570703,-3.033008,0.529590,3.666895,-3.025098,0.492773,3.669141,-3.183691,-0.613184,-3.595801,-3.110254,-0.705859,-3.560449,-3.083105,-0.587109,-3.648340
3.179102,-0.600000,3.514063,3.187402,-0.580469,3.423047,3.152637,-0.518262,3.475586,2.996484,0.440723,-3.604590,3.020313,0.610742,-3.655176,2.999512,0.639941,-3.683887,-3.067578,0.575781,3.568457,-3.033887,0.528906,3.666602,-3.027734,0.491211,3.670313,-3.185156,-0.613867,-3.596191,-3.112207,-0.705957,-3.561035,-3.084277,-0.587598,-3.647754
3.181641,-0.600000,3.513770,3.186230,-0.581152,3.422852,3.151855,-0.519336,3.474316,2.996582,0.441699,-3.605957,3.018262,0.612109,-3.654199,3.000684,0.639062,-3.684570,-3.069043,0.575391,3.569922,-3.034961,0.528711,3.666113,-3.027344,0.491309,3.670801,-3.184277,-0.614160,-3.597949,-3.111816,-0.704785,-3.561328,-3.082227,-0.588086,-3.647559
3.184082,-0.599121,3.510937,3.186426,-0.581445,3.421387,3.153516,-0.519141,3.475098,2.997949,0.442676,-3.604004,3.016895,0.611816,-3.651172,3.000195,0.640234,-3.684961,-3.066016,0.576758,3.567578,-3.034375,0.528516,3.666113,-3.026367,0.491895,3.670410,-3.185254,-0.613867,-3.596777,-3.111816,-0.705273,-3.560742,-3.084277,-0.587402,-3.645605
