combo,s1,s2,s3,geometry_rank_centered,gradient_rank_C,success_count,cycle_count,status,cvt_ep_mean,cvt_ep_median,cvt_eR_mean,cvt_eR_median,cci_ep_mean,cci_ep_median,cci_eR_mean,cci_eR_median,delta_cci_minus_cvt_ep_mean,delta_cci_minus_cvt_eR_mean,cci_better_ep_count,cci_better_eR_count
1-2-3,1,2,3,1,3,0,10,invalid_geometry,,,,,,,,,,,0,0
1-2-4,1,2,4,2,5,10,10,ok,0.042259703812368848,0.045323245361921519,0.27449447754262402,0.26117577466928571,0.040336862441036153,0.043723897437273215,0.26246448692507618,0.25330299401271783,-0.0019228413713326953,-0.012029990617547837,9,8
1-2-5,1,2,5,2,5,10,10,ok,0.030902716398894459,0.03202205771372936,0.22356888780315542,0.21970443654485755,0.028622163211689762,0.029126294594516041,0.21686265246812586,0.20465343817186357,-0.0022805531872046973,-0.0067062353350295645,8,8
1-2-6,1,2,6,2,5,10,10,ok,0.028900651460058335,0.029615524734590649,0.24178031216156959,0.23822235868971753,0.027838213406139328,0.02853777891357024,0.23393346415381897,0.22673778201604133,-0.001062438053919007,-0.0078468480077506231,6,6
1-2-7,1,2,7,2,5,10,10,ok,0.022806576015825007,0.021699165586886289,0.25405439892797332,0.23635361410539824,0.025974016748808587,0.023523449795235025,0.29164524208996856,0.29182820831621731,0.0031674407329835806,0.037590843161995235,2,1
1-2-8,1,2,8,2,5,10,10,ok,0.021902256512763913,0.023228844552860811,0.23061300823606218,0.24022010065925531,0.026229304701044953,0.026071288420303599,0.2412589618614846,0.24760684780060443,0.0043270481882810401,0.010645953625422422,1,3
1-2-9,1,2,9,2,5,10,10,ok,0.027244607947849043,0.026947644076021592,0.19177576589749742,0.19955032072195764,0.030915707775998631,0.026957690193318153,0.23440881112227013,0.21340130232084945,0.0036710998281495877,0.042633045224772709,3,6
1-2-10,1,2,10,2,5,10,10,ok,0.024427826127775883,0.018957347639284663,0.20371332203483936,0.17008982241909526,0.02822584834519018,0.023455720863787735,0.27573806828587311,0.26815100159683447,0.0037980222174142965,0.07202474625103375,4,4
1-2-11,1,2,11,2,5,10,10,ok,0.025359590646810908,0.020521309169015685,0.16584648596555518,0.13406476705324788,0.030693181944085223,0.027460500746722787,0.26865438153199317,0.22633149857305995,0.0053335912972743149,0.10280789556643799,2,4
1-2-12,1,2,12,2,5,10,10,ok,0.028039479375223171,0.024905161980391673,0.16144526465763892,0.14192881857844164,0.036316990134893333,0.033116814863526155,0.32287900354309007,0.30674623741885226,0.0082775107596701619,0.16143373888545115,0,2
1-3-4,1,3,4,2,5,10,10,ok,0.036693468715981378,0.039873556627616422,0.29555861821640939,0.29354232797098079,0.037645924347031623,0.039164755712894211,0.29197663554108849,0.28613865645407166,0.00095245563105024467,-0.0035819826753208939,3,6
1-3-5,1,3,5,2,5,10,10,ok,0.026796865551314365,0.027958089863708215,0.21912805621873727,0.21149325337040037,0.026094741505068453,0.026225791657778066,0.21429912318143568,0.21224304107015984,-0.00070212404624591176,-0.004828933037301586,7,7
1-3-6,1,3,6,2,5,10,10,ok,0.02123369700121373,0.020645689058740008,0.24884485962836758,0.23667821697550995,0.021158916050809023,0.019895236393282691,0.22893677754355282,0.2159072813888957,-7.4780950404706309e-05,-0.01990808208481476,4,7
1-3-7,1,3,7,2,5,10,10,ok,0.018407539016109725,0.017965362108641872,0.29060914217284828,0.29642961205675589,0.024587552348689014,0.022419522844345084,0.31575324116532838,0.30357996354139821,0.0061800133325792886,0.025144098992480102,0,3
1-3-8,1,3,8,2,5,10,10,ok,0.017778619334799635,0.017634068089389929,0.26018460397048659,0.27137632154775337,0.024223968169917391,0.023778179355865091,0.25388541111191221,0.24660404815749637,0.0064453488351177562,-0.0062991928585743873,0,5
1-3-9,1,3,9,2,5,10,10,ok,0.020475328747589124,0.020220841983910963,0.21533886288251008,0.23447343460540532,0.025360120926378498,0.022457268348201973,0.22710896043138287,0.22514980109799515,0.0048847921787893746,0.011770097548872788,1,7
1-3-10,1,3,10,2,5,10,10,ok,0.020936462995823545,0.019097203025609528,0.18540266077898876,0.1517915907569532,0.024579883170746157,0.019944161620692322,0.23097842851836123,0.20056196208920196,0.0036434201749226125,0.045575767739372469,3,4
